Campaign_ID,Campaign,Date,Channel,Region,Impressions,Clicks,Leads,Conversions,Customers_Acquired,Marketing_Spend,Sales,Profit,ROI,ROAS
CAM021,Email Promotion,2025-01-21,Email,North,19930.9523809524,2139.04761904762,628.285714285714,193.627380952381,176.415476190476,8113.69047619048,68208.3333333333,42717.8571428571,558.879095238095,8.81044047619047
CAM022,Retargeting,2025-01-22,Google Ads,West,19366.6666666667,2173.33333333333,642.0,198.716666666667,181.283333333333,7658.33333333334,68983.3333333333,43850.0,582.128666666667,9.11083333333333
CAM023,Product Discount,2025-01-23,Instagram,East,18802.380952381,2207.61904761905,655.714285714286,203.805952380953,186.15119047619,7202.97619047624,69758.3333333333,44982.1428571429,605.378238095238,9.41122619047619
CAM024,Holiday Promotion,2025-01-24,Facebook,North,18238.0952380953,2241.90476190476,669.428571428571,208.895238095238,191.019047619047,6747.61904761903,70533.3333333333,46114.2857142857,628.62780952381,9.71161904761904
CAM025,Customer Reactivation,2025-01-25,Email,South,17673.8095238096,2276.19047619048,683.142857142857,213.984523809524,195.886904761904,6292.26190476194,71308.3333333333,47246.4285714286,651.877380952381,10.0120119047619
CAM026,Flash Sale,2025-01-26,Google Ads,East,17109.5238095238,2310.47619047619,696.857142857143,219.07380952381,200.754761904762,5836.90476190474,72083.3333333333,48378.5714285714,675.126952380953,10.3124047619048
CAM027,Referral Campaign,2025-01-27,Referral,West,16545.2380952381,2344.7619047619,710.571428571429,224.163095238096,205.622619047619,5381.54761904764,72858.3333333333,49510.7142857143,698.376523809524,10.6127976190476
CAM028,Spring Promotion,2025-01-28,Instagram,South,15980.9523809524,2379.04761904762,724.285714285714,229.252380952381,210.490476190476,4926.19047619044,73633.3333333333,50642.8571428571,721.626095238095,10.9131904761905
CAM029,Clearance Sale,2025-01-29,Facebook,East,15416.6666666667,2413.33333333333,738.0,234.341666666667,215.358333333333,4470.83333333334,74408.3333333333,51775.0,744.875666666667,11.2135833333333
CAM030,Loyalty Campaign,2025-01-30,Email,North,14852.380952381,2447.61904761905,751.714285714286,239.430952380953,220.22619047619,4015.47619047624,75183.3333333333,52907.1428571429,768.125238095238,11.5139761904762
CAM031,Summer Sale,2025-01-31,Facebook,South,14288.0952380953,2481.90476190476,765.428571428571,244.520238095238,225.094047619047,3560.11904761903,75958.3333333333,54039.2857142857,791.37480952381,11.814369047619
CAM032,Winter Offer,2025-02-01,Google Ads,North,13723.8095238096,2516.19047619047,779.142857142857,249.609523809524,229.961904761904,3104.76190476194,76733.3333333333,55171.4285714286,814.624380952381,12.1147619047619
CAM033,New Product Launch,2025-02-02,Instagram,West,13159.5238095238,2550.47619047619,792.857142857143,254.69880952381,234.829761904762,2649.40476190474,77508.3333333333,56303.5714285714,837.873952380952,12.4151547619048
CAM034,Brand Awareness,2025-02-03,YouTube,East,12595.2380952381,2584.7619047619,806.571428571429,259.788095238096,239.697619047619,2194.04761904764,78283.3333333333,57435.7142857143,861.123523809524,12.7155476190476
CAM035,Festival Campaign,2025-02-04,Facebook,South,12030.9523809524,2619.04761904762,820.285714285714,264.877380952381,244.565476190476,1738.69047619044,79058.3333333333,58567.8571428571,884.373095238095,13.0159404761904
CAM036,Email Promotion,2025-02-05,Email,North,11466.6666666667,2653.33333333333,834.0,269.966666666667,249.433333333333,1283.33333333334,79833.3333333333,59700.0,907.622666666667,13.3163333333333
CAM037,Retargeting,2025-02-06,Google Ads,West,10902.380952381,2687.61904761904,847.714285714286,275.055952380953,254.30119047619,827.976190476234,80608.3333333333,60832.1428571429,930.872238095238,13.6167261904762
CAM038,Product Discount,2025-02-07,Instagram,East,10338.0952380953,2721.90476190476,861.428571428571,280.145238095238,259.169047619047,372.619047619035,81383.3333333333,61964.2857142857,954.12180952381,13.917119047619
CAM039,Holiday Promotion,2025-02-08,Facebook,North,9773.80952380957,2756.19047619047,875.142857142857,285.234523809524,264.036904761904,-82.7380952380627,82158.3333333333,63096.4285714286,977.371380952381,14.2175119047619
CAM040,Customer Reactivation,2025-02-09,Email,South,9209.52380952377,2790.47619047619,888.857142857143,290.32380952381,268.904761904762,-538.095238095266,82933.3333333333,64228.5714285714,1000.62095238095,14.5179047619047
CAM041,Flash Sale,2025-02-10,Google Ads,East,8645.23809523807,2824.7619047619,902.571428571429,295.413095238096,273.772619047619,-993.452380952363,83708.3333333333,65360.7142857143,1023.87052380952,14.8182976190476
CAM042,Referral Campaign,2025-02-11,Referral,West,8080.95238095237,2859.04761904762,916.285714285714,300.502380952381,278.640476190476,-1448.80952380956,84483.3333333333,66492.8571428571,1047.12009523809,15.1186904761904
CAM043,Spring Promotion,2025-02-12,Instagram,South,7516.66666666667,2893.33333333333,930.0,305.591666666667,283.508333333333,-1904.16666666666,85258.3333333333,67625.0,1070.36966666667,15.4190833333333
CAM044,Clearance Sale,2025-02-13,Facebook,East,6952.38095238097,2927.61904761904,943.714285714286,310.680952380953,288.37619047619,-2359.52380952377,86033.3333333333,68757.1428571429,1093.61923809524,15.7194761904762
CAM045,Loyalty Campaign,2025-02-14,Email,North,6388.09523809527,2961.90476190476,957.428571428571,315.770238095238,293.244047619047,-2814.88095238097,86808.3333333333,69889.2857142857,1116.86880952381,16.019869047619
CAM046,Summer Sale,2025-02-15,Facebook,South,5823.80952380957,2996.19047619047,971.142857142857,320.859523809524,298.111904761904,-3270.23809523806,87583.3333333333,71021.4285714286,1140.11838095238,16.3202619047619
CAM047,Winter Offer,2025-02-16,Google Ads,North,5259.52380952377,3030.47619047619,984.857142857143,325.94880952381,302.979761904762,-3725.59523809527,88358.3333333333,72153.5714285714,1163.36795238096,16.6206547619047
CAM048,New Product Launch,2025-02-17,Instagram,West,4695.23809523807,3064.7619047619,998.571428571429,331.038095238096,307.847619047619,-4180.95238095236,89133.3333333333,73285.7142857143,1186.61752380953,16.9210476190476
CAM049,Brand Awareness,2025-02-18,YouTube,East,4130.95238095237,3099.04761904761,1012.28571428571,336.127380952381,312.715476190476,-4636.30952380956,89908.3333333333,74417.8571428571,1209.8670952381,17.2214404761904
CAM050,Festival Campaign,2025-02-19,Facebook,South,3566.66666666667,3133.33333333333,1026.0,341.216666666667,317.583333333333,-5091.66666666666,90683.3333333333,75550.0,1233.11666666667,17.5218333333333
CAM051,Email Promotion,2025-02-20,Email,North,3002.38095238097,3167.61904761904,1039.71428571429,346.305952380953,322.45119047619,-5547.02380952377,91458.3333333333,76682.1428571429,1256.36623809524,17.8222261904762
CAM052,Retargeting,2025-02-21,Google Ads,West,2438.09523809527,3201.90476190476,1053.42857142857,351.395238095239,327.319047619047,-6002.38095238097,92233.3333333333,77814.2857142857,1279.61580952381,18.122619047619
CAM053,Product Discount,2025-02-22,Instagram,East,1873.80952380957,3236.19047619047,1067.14285714286,356.484523809524,332.186904761904,-6457.73809523806,93008.3333333333,78946.4285714286,1302.86538095238,18.4230119047619
CAM054,Holiday Promotion,2025-02-23,Facebook,North,1309.52380952377,3270.47619047619,1080.85714285714,361.57380952381,337.054761904762,-6913.09523809527,93783.3333333333,80078.5714285714,1326.11495238096,18.7234047619047
CAM055,Customer Reactivation,2025-02-24,Email,South,745.238095238066,3304.7619047619,1094.57142857143,366.663095238096,341.922619047619,-7368.45238095236,94558.3333333333,81210.7142857143,1349.36452380953,19.0237976190476
CAM056,Flash Sale,2025-02-25,Google Ads,East,180.952380952367,3339.04761904761,1108.28571428571,371.752380952381,346.790476190476,-7823.80952380956,95333.3333333333,82342.8571428571,1372.6140952381,19.3241904761904
CAM057,Referral Campaign,2025-02-26,Referral,West,-383.333333333332,3373.33333333333,1122.0,376.841666666667,351.658333333333,-8279.16666666666,96108.3333333333,83475.0,1395.86366666667,19.6245833333333
CAM058,Spring Promotion,2025-02-27,Instagram,South,-947.619047619031,3407.61904761904,1135.71428571429,381.930952380953,356.52619047619,-8734.52380952377,96883.3333333333,84607.1428571429,1419.11323809524,19.9249761904762
CAM059,Clearance Sale,2025-02-28,Facebook,East,-1511.90476190473,3441.90476190476,1149.42857142857,387.020238095239,361.394047619047,-9189.88095238097,97658.3333333333,85739.2857142857,1442.36280952381,20.225369047619
CAM060,Loyalty Campaign,2025-03-01,Email,North,-2076.19047619043,3476.19047619047,1163.14285714286,392.109523809524,366.261904761904,-9645.23809523806,98433.3333333333,86871.4285714286,1465.61238095238,20.5257619047619
CAM061,Summer Sale,2025-03-02,Facebook,South,-2640.47619047623,3510.47619047619,1176.85714285714,397.19880952381,371.129761904761,-10100.5952380953,99208.3333333333,88003.5714285714,1488.86195238096,20.8261547619047
CAM062,Winter Offer,2025-03-03,Google Ads,North,-3204.76190476193,3544.7619047619,1190.57142857143,402.288095238096,375.997619047619,-10555.9523809524,99983.3333333333,89135.7142857143,1512.11152380953,21.1265476190476
CAM063,New Product Launch,2025-03-04,Instagram,West,-3769.04761904763,3579.04761904761,1204.28571428571,407.377380952381,380.865476190476,-11011.3095238096,100758.333333333,90267.8571428571,1535.3610952381,21.4269404761904
CAM064,Brand Awareness,2025-03-05,YouTube,East,-4333.33333333333,3613.33333333333,1218.0,412.466666666667,385.733333333333,-11466.6666666667,101533.333333333,91400.0,1558.61066666667,21.7273333333333
CAM065,Festival Campaign,2025-03-06,Facebook,South,-4897.61904761903,3647.61904761904,1231.71428571429,417.555952380953,390.60119047619,-11922.0238095238,102308.333333333,92532.1428571429,1581.86023809524,22.0277261904762
CAM066,Email Promotion,2025-03-07,Email,North,-5461.90476190473,3681.90476190476,1245.42857142857,422.645238095239,395.469047619047,-12377.380952381,103083.333333333,93664.2857142857,1605.10980952381,22.328119047619
CAM067,Retargeting,2025-03-08,Google Ads,West,-6026.19047619043,3716.19047619047,1259.14285714286,427.734523809524,400.336904761904,-12832.7380952381,103858.333333333,94796.4285714286,1628.35938095238,22.6285119047619
CAM068,Product Discount,2025-03-09,Instagram,East,-6590.47619047623,3750.47619047619,1272.85714285714,432.82380952381,405.204761904761,-13288.0952380953,104633.333333333,95928.5714285714,1651.60895238096,22.9289047619047
CAM069,Holiday Promotion,2025-03-10,Facebook,North,-7154.76190476193,3784.7619047619,1286.57142857143,437.913095238096,410.072619047619,-13743.4523809524,105408.333333333,97060.7142857143,1674.85852380953,23.2292976190476
CAM070,Customer Reactivation,2025-03-11,Email,South,-7719.04761904763,3819.04761904761,1300.28571428571,443.002380952381,414.940476190476,-14198.8095238096,106183.333333333,98192.8571428571,1698.1080952381,23.5296904761904
CAM071,Flash Sale,2025-03-12,Google Ads,East,-8283.33333333333,3853.33333333333,1314.0,448.091666666667,419.808333333333,-14654.1666666667,106958.333333333,99325.0,1721.35766666667,23.8300833333333
CAM072,Referral Campaign,2025-03-13,Referral,West,-8847.61904761903,3887.61904761904,1327.71428571429,453.180952380953,424.67619047619,-15109.5238095238,107733.333333333,100457.142857143,1744.60723809524,24.1304761904762
CAM073,Spring Promotion,2025-03-14,Instagram,South,-9411.90476190473,3921.90476190476,1341.42857142857,458.270238095239,429.544047619047,-15564.880952381,108508.333333333,101589.285714286,1767.85680952381,24.430869047619
CAM074,Clearance Sale,2025-03-15,Facebook,East,-9976.19047619043,3956.19047619047,1355.14285714286,463.359523809524,434.411904761904,-16020.2380952381,109283.333333333,102721.428571429,1791.10638095238,24.7312619047619
CAM075,Loyalty Campaign,2025-03-16,Email,North,-10540.4761904762,3990.47619047619,1368.85714285714,468.44880952381,439.279761904762,-16475.5952380953,110058.333333333,103853.571428571,1814.35595238096,25.0316547619047
CAM076,Summer Sale,2025-03-17,Facebook,South,-11104.7619047619,4024.7619047619,1382.57142857143,473.538095238096,444.147619047619,-16930.9523809524,110833.333333333,104985.714285714,1837.60552380953,25.3320476190476
CAM077,Winter Offer,2025-03-18,Google Ads,North,-11669.0476190476,4059.04761904761,1396.28571428571,478.627380952381,449.015476190476,-17386.3095238096,111608.333333333,106117.857142857,1860.8550952381,25.6324404761904
CAM078,New Product Launch,2025-03-19,Instagram,West,-12233.3333333333,4093.33333333333,1410.0,483.716666666667,453.883333333333,-17841.6666666667,112383.333333333,107250.0,1884.10466666667,25.9328333333333
CAM079,Brand Awareness,2025-03-20,YouTube,East,-12797.619047619,4127.61904761904,1423.71428571429,488.805952380953,458.75119047619,-18297.0238095238,113158.333333333,108382.142857143,1907.35423809524,26.2332261904762
CAM080,Festival Campaign,2025-03-21,Facebook,South,-13361.9047619047,4161.90476190476,1437.42857142857,493.895238095239,463.619047619047,-18752.380952381,113933.333333333,109514.285714286,1930.60380952381,26.533619047619
CAM081,Email Promotion,2025-03-22,Email,North,-13926.1904761904,4196.19047619047,1451.14285714286,498.984523809524,468.486904761904,-19207.7380952381,114708.333333333,110646.428571429,1953.85338095238,26.8340119047619
CAM082,Retargeting,2025-03-23,Google Ads,West,-14490.4761904762,4230.47619047619,1464.85714285714,504.07380952381,473.354761904762,-19663.0952380953,115483.333333333,111778.571428571,1977.10295238096,27.1344047619047
CAM083,Product Discount,2025-03-24,Instagram,East,-15054.7619047619,4264.7619047619,1478.57142857143,509.163095238096,478.222619047619,-20118.4523809524,116258.333333333,112910.714285714,2000.35252380953,27.4347976190476
CAM084,Holiday Promotion,2025-03-25,Facebook,North,-15619.0476190476,4299.04761904761,1492.28571428571,514.252380952381,483.090476190476,-20573.8095238096,117033.333333333,114042.857142857,2023.6020952381,27.7351904761904
CAM085,Customer Reactivation,2025-03-26,Email,South,-16183.3333333333,4333.33333333333,1506.0,519.341666666667,487.958333333333,-21029.1666666667,117808.333333333,115175.0,2046.85166666667,28.0355833333333
CAM086,Flash Sale,2025-03-27,Google Ads,East,-16747.619047619,4367.61904761904,1519.71428571429,524.430952380953,492.82619047619,-21484.5238095238,118583.333333333,116307.142857143,2070.10123809524,28.3359761904762
CAM087,Referral Campaign,2025-03-28,Referral,West,-17311.9047619047,4401.90476190476,1533.42857142857,529.520238095239,497.694047619047,-21939.880952381,119358.333333333,117439.285714286,2093.35080952381,28.636369047619
CAM088,Spring Promotion,2025-03-29,Instagram,South,-17876.1904761904,4436.19047619047,1547.14285714286,534.609523809524,502.561904761904,-22395.2380952381,120133.333333333,118571.428571429,2116.60038095238,28.9367619047619
CAM089,Clearance Sale,2025-03-30,Facebook,East,-18440.4761904762,4470.47619047619,1560.85714285714,539.69880952381,507.429761904762,-22850.5952380953,120908.333333333,119703.571428571,2139.84995238096,29.2371547619047
CAM090,Loyalty Campaign,2025-03-31,Email,North,-19004.7619047619,4504.7619047619,1574.57142857143,544.788095238096,512.297619047619,-23305.9523809524,121683.333333333,120835.714285714,2163.09952380953,29.5375476190476
CAM091,Summer Sale,2025-04-01,Facebook,South,-19569.0476190476,4539.04761904761,1588.28571428571,549.877380952381,517.165476190476,-23761.3095238096,122458.333333333,121967.857142857,2186.3490952381,29.8379404761904
CAM092,Winter Offer,2025-04-02,Google Ads,North,-20133.3333333333,4573.33333333333,1602.0,554.966666666667,522.033333333333,-24216.6666666667,123233.333333333,123100.0,2209.59866666667,30.1383333333333
CAM093,New Product Launch,2025-04-03,Instagram,West,-20697.619047619,4607.61904761904,1615.71428571429,560.055952380953,526.90119047619,-24672.0238095238,124008.333333333,124232.142857143,2232.84823809524,30.4387261904762
CAM094,Brand Awareness,2025-04-04,YouTube,East,-21261.9047619047,4641.90476190476,1629.42857142857,565.145238095239,531.769047619047,-25127.380952381,124783.333333333,125364.285714286,2256.09780952381,30.739119047619
CAM095,Festival Campaign,2025-04-05,Facebook,South,-21826.1904761904,4676.19047619047,1643.14285714286,570.234523809524,536.636904761904,-25582.7380952381,125558.333333333,126496.428571429,2279.34738095238,31.0395119047619
CAM096,Email Promotion,2025-04-06,Email,North,-22390.4761904761,4710.47619047619,1656.85714285714,575.32380952381,541.504761904761,-26038.0952380953,126333.333333333,127628.571428571,2302.59695238096,31.3399047619047
CAM097,Retargeting,2025-04-07,Google Ads,West,-22954.7619047619,4744.7619047619,1670.57142857143,580.413095238096,546.372619047619,-26493.4523809524,127108.333333333,128760.714285714,2325.84652380953,31.6402976190476
CAM098,Product Discount,2025-04-08,Instagram,East,-23519.0476190476,4779.04761904761,1684.28571428571,585.502380952381,551.240476190476,-26948.8095238096,127883.333333333,129892.857142857,2349.0960952381,31.9406904761904
CAM099,Holiday Promotion,2025-04-09,Facebook,North,-24083.3333333333,4813.33333333333,1698.0,590.591666666667,556.108333333333,-27404.1666666667,128658.333333333,131025.0,2372.34566666667,32.2410833333333
CAM100,Customer Reactivation,2025-04-10,Email,South,-24647.619047619,4847.61904761904,1711.71428571429,595.680952380953,560.97619047619,-27859.5238095238,129433.333333333,132157.142857143,2395.59523809524,32.5414761904762
CAM101,Flash Sale,2025-04-11,Google Ads,East,-25211.9047619047,4881.90476190476,1725.42857142857,600.770238095239,565.844047619047,-28314.880952381,130208.333333333,133289.285714286,2418.84480952381,32.841869047619
CAM102,Referral Campaign,2025-04-12,Referral,West,-25776.1904761904,4916.19047619047,1739.14285714286,605.859523809524,570.711904761904,-28770.2380952381,130983.333333333,134421.428571429,2442.09438095238,33.1422619047619
CAM103,Spring Promotion,2025-04-13,Instagram,South,-26340.4761904761,4950.47619047619,1752.85714285714,610.94880952381,575.579761904761,-29225.5952380953,131758.333333333,135553.571428571,2465.34395238096,33.4426547619047
CAM104,Clearance Sale,2025-04-14,Facebook,East,-26904.7619047619,4984.7619047619,1766.57142857143,616.038095238096,580.447619047619,-29680.9523809524,132533.333333333,136685.714285714,2488.59352380953,33.7430476190476
CAM105,Loyalty Campaign,2025-04-15,Email,North,-27469.0476190476,5019.04761904761,1780.28571428571,621.127380952381,585.315476190476,-30136.3095238096,133308.333333333,137817.857142857,2511.8430952381,34.0434404761904
CAM106,Summer Sale,2025-04-16,Facebook,South,-28033.3333333333,5053.33333333333,1794.0,626.216666666667,590.183333333333,-30591.6666666667,134083.333333333,138950.0,2535.09266666667,34.3438333333333
CAM107,Winter Offer,2025-04-17,Google Ads,North,-28597.619047619,5087.61904761904,1807.71428571429,631.305952380953,595.05119047619,-31047.0238095238,134858.333333333,140082.142857143,2558.34223809524,34.6442261904762
CAM108,New Product Launch,2025-04-18,Instagram,West,-29161.9047619047,5121.90476190476,1821.42857142857,636.395238095239,599.919047619047,-31502.380952381,135633.333333333,141214.285714286,2581.59180952381,34.944619047619
CAM109,Brand Awareness,2025-04-19,YouTube,East,-29726.1904761904,5156.19047619047,1835.14285714286,641.484523809524,604.786904761904,-31957.7380952381,136408.333333333,142346.428571429,2604.84138095238,35.2450119047619
CAM110,Festival Campaign,2025-04-20,Facebook,South,-30290.4761904761,5190.47619047619,1848.85714285714,646.57380952381,609.654761904762,-32413.0952380953,137183.333333333,143478.571428571,2628.09095238095,35.5454047619047
CAM111,Email Promotion,2025-04-21,Email,North,-30854.7619047619,5224.7619047619,1862.57142857143,651.663095238096,614.522619047619,-32868.4523809524,137958.333333333,144610.714285714,2651.34052380953,35.8457976190476
CAM112,Retargeting,2025-04-22,Google Ads,West,-31419.0476190476,5259.04761904761,1876.28571428571,656.752380952381,619.390476190476,-33323.8095238096,138733.333333333,145742.857142857,2674.5900952381,36.1461904761904
CAM113,Product Discount,2025-04-23,Instagram,East,-31983.3333333333,5293.33333333333,1890.0,661.841666666667,624.258333333333,-33779.1666666667,139508.333333333,146875.0,2697.83966666667,36.4465833333333
CAM114,Holiday Promotion,2025-04-24,Facebook,North,-32547.619047619,5327.61904761904,1903.71428571429,666.930952380953,629.12619047619,-34234.5238095238,140283.333333333,148007.142857143,2721.08923809524,36.7469761904762
CAM115,Customer Reactivation,2025-04-25,Email,South,-33111.9047619047,5361.90476190476,1917.42857142857,672.020238095239,633.994047619047,-34689.880952381,141058.333333333,149139.285714286,2744.33880952381,37.047369047619
CAM116,Flash Sale,2025-04-26,Google Ads,East,-33676.1904761904,5396.19047619047,1931.14285714286,677.109523809524,638.861904761904,-35145.2380952381,141833.333333333,150271.428571429,2767.58838095238,37.3477619047619
CAM117,Referral Campaign,2025-04-27,Referral,West,-34240.4761904761,5430.47619047619,1944.85714285714,682.19880952381,643.729761904761,-35600.5952380953,142608.333333333,151403.571428571,2790.83795238095,37.6481547619047
CAM118,Spring Promotion,2025-04-28,Instagram,South,-34804.7619047619,5464.7619047619,1958.57142857143,687.288095238096,648.597619047619,-36055.9523809524,143383.333333333,152535.714285714,2814.08752380953,37.9485476190476
CAM119,Clearance Sale,2025-04-29,Facebook,East,-35369.0476190476,5499.04761904761,1972.28571428571,692.377380952381,653.465476190476,-36511.3095238096,144158.333333333,153667.857142857,2837.3370952381,38.2489404761904
CAM120,Loyalty Campaign,2025-04-30,Email,North,-35933.3333333333,5533.33333333333,1986.0,697.466666666667,658.333333333333,-36966.6666666667,144933.333333333,154800.0,2860.58666666667,38.5493333333333
CAM121,Summer Sale,2025-05-01,Facebook,South,-36497.619047619,5567.61904761904,1999.71428571429,702.555952380953,663.20119047619,-37422.0238095238,145708.333333333,155932.142857143,2883.83623809524,38.8497261904762
CAM122,Winter Offer,2025-05-02,Google Ads,North,-37061.9047619047,5601.90476190476,2013.42857142857,707.645238095239,668.069047619047,-37877.380952381,146483.333333333,157064.285714286,2907.08580952381,39.150119047619
CAM123,New Product Launch,2025-05-03,Instagram,West,-37626.1904761904,5636.19047619047,2027.14285714286,712.734523809524,672.936904761904,-38332.7380952381,147258.333333333,158196.428571429,2930.33538095238,39.4505119047619
CAM124,Brand Awareness,2025-05-04,YouTube,East,-38190.4761904762,5670.47619047619,2040.85714285714,717.82380952381,677.804761904762,-38788.0952380953,148033.333333333,159328.571428571,2953.58495238096,39.7509047619047
CAM125,Festival Campaign,2025-05-05,Facebook,South,-38754.7619047619,5704.7619047619,2054.57142857143,722.913095238096,682.672619047619,-39243.4523809524,148808.333333333,160460.714285714,2976.83452380953,40.0512976190476
CAM126,Email Promotion,2025-05-06,Email,North,-39319.0476190476,5739.04761904761,2068.28571428571,728.002380952381,687.540476190476,-39698.8095238096,149583.333333333,161592.857142857,3000.0840952381,40.3516904761904
CAM127,Retargeting,2025-05-07,Google Ads,West,-39883.3333333333,5773.33333333333,2082.0,733.091666666667,692.408333333333,-40154.1666666667,150358.333333333,162725.0,3023.33366666667,40.6520833333333
CAM128,Product Discount,2025-05-08,Instagram,East,-40447.619047619,5807.61904761904,2095.71428571429,738.180952380953,697.27619047619,-40609.5238095238,151133.333333333,163857.142857143,3046.58323809524,40.9524761904762
CAM129,Holiday Promotion,2025-05-09,Facebook,North,-41011.9047619047,5841.90476190476,2109.42857142857,743.270238095239,702.144047619047,-41064.880952381,151908.333333333,164989.285714286,3069.83280952381,41.252869047619
CAM130,Customer Reactivation,2025-05-10,Email,South,-41576.1904761904,5876.19047619047,2123.14285714286,748.359523809524,707.011904761904,-41520.2380952381,152683.333333333,166121.428571429,3093.08238095238,41.5532619047619
CAM131,Flash Sale,2025-05-11,Google Ads,East,-42140.4761904762,5910.47619047619,2136.85714285714,753.44880952381,711.879761904761,-41975.5952380953,153458.333333333,167253.571428571,3116.33195238095,41.8536547619047
CAM132,Referral Campaign,2025-05-12,Referral,West,-42704.7619047619,5944.7619047619,2150.57142857143,758.538095238096,716.747619047619,-42430.9523809524,154233.333333333,168385.714285714,3139.58152380953,42.1540476190476
CAM133,Spring Promotion,2025-05-13,Instagram,South,-43269.0476190476,5979.04761904761,2164.28571428571,763.627380952381,721.615476190476,-42886.3095238096,155008.333333333,169517.857142857,3162.8310952381,42.4544404761904
CAM134,Clearance Sale,2025-05-14,Facebook,East,-43833.3333333333,6013.33333333333,2178.0,768.716666666667,726.483333333333,-43341.6666666667,155783.333333333,170650.0,3186.08066666667,42.7548333333333
CAM135,Loyalty Campaign,2025-05-15,Email,North,-44397.619047619,6047.61904761904,2191.71428571429,773.805952380953,731.35119047619,-43797.0238095238,156558.333333333,171782.142857143,3209.33023809524,43.0552261904762
CAM136,Summer Sale,2025-05-16,Facebook,South,-44961.9047619047,6081.90476190476,2205.42857142857,778.895238095239,736.219047619047,-44252.380952381,157333.333333333,172914.285714286,3232.57980952381,43.355619047619
CAM137,Winter Offer,2025-05-17,Google Ads,North,-45526.1904761904,6116.19047619047,2219.14285714286,783.984523809524,741.086904761904,-44707.7380952381,158108.333333333,174046.428571429,3255.82938095238,43.6560119047619
CAM138,New Product Launch,2025-05-18,Instagram,West,-46090.4761904762,6150.47619047619,2232.85714285714,789.07380952381,745.954761904761,-45163.0952380953,158883.333333333,175178.571428571,3279.07895238095,43.9564047619047
