Region,Date,Order_ID,Customer_ID,Product_ID,Product_Name,Category,Quantity,Sales_Amount,Unit_Price,Discount,Profit,Cost,Order_Status,Sales_Channel,City,State,Country
West,2026-01-19,ORD1015,CUST015,PROD015,Office Chair,Furniture,6.0,72000.0,12000.0,3600.0,14400.0,54000.0,Completed,Store,Surat,Gujarat,India
East,2026-01-20,ORD1016,CUST016,PROD016,Printer,Electronics,3.0,75000.0,25000.0,3750.0,15000.0,56250.0,Completed,Online,Ranchi,Jharkhand,India
North,2026-01-21,ORD1017,CUST017,PROD017,Monitor,Electronics,4.0,88000.0,22000.0,4400.0,17600.0,66000.0,Completed,Online,Delhi,Delhi,India
South,2026-01-22,ORD1018,CUST018,PROD018,Desk,Furniture,2.0,32000.0,16000.0,1600.0,6400.0,24000.0,Completed,Store,Bengaluru,Karnataka,India
West,2026-01-23,ORD1019,CUST019,PROD019,Tablet,Electronics,5.0,125000.0,25000.0,6250.0,25000.0,93750.0,Completed,Online,Mumbai,Maharashtra,India
East,2026-01-24,ORD1020,CUST020,PROD020,Laptop,Electronics,2.0,130000.0,65000.0,6500.0,26000.0,97500.0,Completed,Store,Kolkata,West Bengal,India
North,2026-01-25,ORD1021,CUST021,PROD021,Laptop,Electronics,3.68947368421053,78260.5263157895,28444.7368421053,3997.8947368421,15912.6315789474,57218.4210526316,Completed,Online,Delhi,Delhi,India
South,2026-01-26,ORD1022,CUST022,PROD022,Phone,Electronics,3.57894736842105,78106.7669172932,28789.4736842105,4007.21804511278,15903.1203007519,56897.5563909774,Completed,Store,Bengaluru,Karnataka,India
West,2026-01-27,ORD1023,CUST023,PROD023,Chair,Furniture,3.46842105263158,77953.007518797,29134.2105263158,4016.54135338346,15893.6090225564,56576.6917293233,Completed,Online,Mumbai,Maharashtra,India
East,2026-01-28,ORD1024,CUST024,PROD024,Desk,Furniture,3.35789473684211,77799.2481203007,29478.947368421,4025.86466165414,15884.0977443609,56255.8270676692,Completed,Store,Kolkata,West Bengal,India
North,2026-01-29,ORD1025,CUST025,PROD025,Tablet,Electronics,3.24736842105263,77645.4887218045,29823.6842105263,4035.18796992481,15874.5864661654,55934.962406015,Completed,Online,Jaipur,Rajasthan,India
South,2026-01-30,ORD1026,CUST026,PROD026,Printer,Electronics,3.13684210526316,77491.7293233083,30168.4210526316,4044.51127819549,15865.0751879699,55614.0977443609,Completed,Store,Chennai,Tamil Nadu,India
West,2026-01-31,ORD1027,CUST027,PROD027,Monitor,Electronics,3.02631578947368,77337.969924812,30513.1578947368,4053.83458646617,15855.5639097744,55293.2330827068,Completed,Online,Pune,Maharashtra,India
East,2026-02-01,ORD1028,CUST028,PROD028,Keyboard,Accessories,2.91578947368421,77184.2105263158,30857.8947368421,4063.15789473684,15846.0526315789,54972.3684210526,Completed,Store,Bhubaneswar,Odisha,India
North,2026-02-02,ORD1029,CUST029,PROD029,Mouse,Accessories,2.80526315789474,77030.4511278195,31202.6315789474,4072.48120300752,15836.5413533835,54651.5037593985,Completed,Online,Lucknow,Uttar Pradesh,India
South,2026-02-03,ORD1030,CUST030,PROD030,Headphones,Accessories,2.69473684210526,76876.6917293233,31547.3684210526,4081.8045112782,15827.030075188,54330.6390977444,Completed,Online,Hyderabad,Telangana,India
West,2026-02-04,ORD1031,CUST031,PROD031,Sofa,Furniture,2.58421052631579,76722.9323308271,31892.1052631579,4091.12781954887,15817.5187969925,54009.7744360902,Completed,Store,Ahmedabad,Gujarat,India
East,2026-02-05,ORD1032,CUST032,PROD032,Table,Furniture,2.47368421052632,76569.1729323308,32236.8421052632,4100.45112781955,15808.007518797,53688.9097744361,Completed,Online,Patna,Bihar,India
North,2026-02-06,ORD1033,CUST033,PROD033,Laptop,Electronics,2.36315789473684,76415.4135338346,32581.5789473684,4109.77443609023,15798.4962406015,53368.045112782,Completed,Store,Chandigarh,Chandigarh,India
South,2026-02-07,ORD1034,CUST034,PROD034,Phone,Electronics,2.25263157894737,76261.6541353383,32926.3157894737,4119.0977443609,15788.984962406,53047.1804511279,Completed,Online,Kochi,Kerala,India
West,2026-02-08,ORD1035,CUST035,PROD035,Office Chair,Furniture,2.1421052631579,76107.8947368421,33271.0526315789,4128.42105263158,15779.4736842105,52726.3157894737,Completed,Store,Surat,Gujarat,India
East,2026-02-09,ORD1036,CUST036,PROD036,Printer,Electronics,2.03157894736842,75954.1353383459,33615.7894736842,4137.74436090225,15769.962406015,52405.4511278196,Completed,Online,Ranchi,Jharkhand,India
North,2026-02-10,ORD1037,CUST037,PROD037,Monitor,Electronics,1.92105263157895,75800.3759398496,33960.5263157895,4147.06766917293,15760.4511278195,52084.5864661655,Completed,Online,Delhi,Delhi,India
South,2026-02-11,ORD1038,CUST038,PROD038,Desk,Furniture,1.81052631578947,75646.6165413534,34305.2631578947,4156.39097744361,15750.9398496241,51763.7218045113,Completed,Store,Bengaluru,Karnataka,India
West,2026-02-12,ORD1039,CUST039,PROD039,Tablet,Electronics,1.7,75492.8571428571,34650.0,4165.71428571429,15741.4285714286,51442.8571428572,Completed,Online,Mumbai,Maharashtra,India
East,2026-02-13,ORD1040,CUST040,PROD040,Laptop,Electronics,1.58947368421053,75339.0977443609,34994.7368421053,4175.03759398496,15731.9172932331,51121.992481203,Completed,Store,Kolkata,West Bengal,India
North,2026-02-14,ORD1041,CUST041,PROD041,Laptop,Electronics,1.47894736842105,75185.3383458647,35339.4736842105,4184.36090225564,15722.4060150376,50801.1278195489,Completed,Online,Delhi,Delhi,India
South,2026-02-15,ORD1042,CUST042,PROD042,Phone,Electronics,1.36842105263158,75031.5789473684,35684.2105263158,4193.68421052631,15712.8947368421,50480.2631578948,Completed,Store,Bengaluru,Karnataka,India
West,2026-02-16,ORD1043,CUST043,PROD043,Chair,Furniture,1.25789473684211,74877.8195488722,36028.9473684211,4203.00751879699,15703.3834586466,50159.3984962406,Completed,Online,Mumbai,Maharashtra,India
East,2026-02-17,ORD1044,CUST044,PROD044,Desk,Furniture,1.14736842105263,74724.0601503759,36373.6842105263,4212.33082706767,15693.8721804511,49838.5338345865,Completed,Store,Kolkata,West Bengal,India
North,2026-02-18,ORD1045,CUST045,PROD045,Tablet,Electronics,1.03684210526316,74570.3007518797,36718.4210526316,4221.65413533835,15684.3609022556,49517.6691729324,Completed,Online,Jaipur,Rajasthan,India
South,2026-02-19,ORD1046,CUST046,PROD046,Printer,Electronics,0.926315789473679,74416.5413533835,37063.1578947368,4230.97744360902,15674.8496240601,49196.8045112782,Completed,Store,Chennai,Tamil Nadu,India
West,2026-02-20,ORD1047,CUST047,PROD047,Monitor,Electronics,0.81578947368421,74262.7819548872,37407.8947368421,4240.3007518797,15665.3383458647,48875.9398496241,Completed,Online,Pune,Maharashtra,India
East,2026-02-21,ORD1048,CUST048,PROD048,Keyboard,Accessories,0.705263157894739,74109.022556391,37752.6315789474,4249.62406015038,15655.8270676692,48555.07518797,Completed,Store,Bhubaneswar,Odisha,India
North,2026-02-22,ORD1049,CUST049,PROD049,Mouse,Accessories,0.594736842105259,73955.2631578947,38097.3684210526,4258.94736842105,15646.3157894737,48234.2105263158,Completed,Online,Lucknow,Uttar Pradesh,India
South,2026-02-23,ORD1050,CUST050,PROD050,Headphones,Accessories,0.484210526315789,73801.5037593985,38442.1052631579,4268.27067669173,15636.8045112782,47913.3458646617,Completed,Online,Hyderabad,Telangana,India
West,2026-02-24,ORD1051,CUST051,PROD051,Sofa,Furniture,0.37368421052632,73647.7443609022,38786.8421052632,4277.5939849624,15627.2932330827,47592.4812030076,Completed,Store,Ahmedabad,Gujarat,India
East,2026-02-25,ORD1052,CUST052,PROD052,Table,Furniture,0.26315789473684,73493.984962406,39131.5789473684,4286.91729323308,15617.7819548872,47271.6165413534,Completed,Online,Patna,Bihar,India
North,2026-02-26,ORD1053,CUST053,PROD053,Laptop,Electronics,0.15263157894737,73340.2255639098,39476.3157894737,4296.24060150376,15608.2706766917,46950.7518796993,Completed,Store,Chandigarh,Chandigarh,India
South,2026-02-27,ORD1054,CUST054,PROD054,Phone,Electronics,0.0421052631578895,73186.4661654135,39821.052631579,4305.56390977444,15598.7593984962,46629.8872180452,Completed,Online,Kochi,Kerala,India
West,2026-02-28,ORD1055,CUST055,PROD055,Office Chair,Furniture,-0.0684210526315807,73032.7067669173,40165.7894736842,4314.88721804511,15589.2481203007,46309.022556391,Completed,Store,Surat,Gujarat,India
East,2026-03-01,ORD1056,CUST056,PROD056,Printer,Electronics,-0.178947368421051,72878.947368421,40510.5263157895,4324.21052631579,15579.7368421053,45988.1578947369,Completed,Online,Ranchi,Jharkhand,India
North,2026-03-02,ORD1057,CUST057,PROD057,Monitor,Electronics,-0.28947368421053,72725.1879699248,40855.2631578947,4333.53383458646,15570.2255639098,45667.2932330828,Completed,Online,Delhi,Delhi,India
South,2026-03-03,ORD1058,CUST058,PROD058,Desk,Furniture,-0.4,72571.4285714286,41200.0,4342.85714285714,15560.7142857143,45346.4285714286,Completed,Store,Bengaluru,Karnataka,India
West,2026-03-04,ORD1059,CUST059,PROD059,Tablet,Electronics,-0.510526315789471,72417.6691729323,41544.7368421053,4352.18045112782,15551.2030075188,45025.5639097745,Completed,Online,Mumbai,Maharashtra,India
East,2026-03-05,ORD1060,CUST060,PROD060,Laptop,Electronics,-0.621052631578951,72263.9097744361,41889.4736842105,4361.5037593985,15541.6917293233,44704.6992481204,Completed,Store,Kolkata,West Bengal,India
North,2026-03-06,ORD1061,CUST061,PROD061,Laptop,Electronics,-0.731578947368421,72110.1503759398,42234.2105263158,4370.82706766917,15532.1804511278,44383.8345864662,Completed,Online,Delhi,Delhi,India
South,2026-03-07,ORD1062,CUST062,PROD062,Phone,Electronics,-0.84210526315789,71956.3909774436,42578.9473684211,4380.15037593985,15522.6691729323,44062.9699248121,Completed,Store,Bengaluru,Karnataka,India
West,2026-03-08,ORD1063,CUST063,PROD063,Chair,Furniture,-0.95263157894737,71802.6315789474,42923.6842105263,4389.47368421053,15513.1578947368,43742.105263158,Completed,Online,Mumbai,Maharashtra,India
East,2026-03-09,ORD1064,CUST064,PROD064,Desk,Furniture,-1.06315789473684,71648.8721804511,43268.4210526316,4398.7969924812,15503.6466165413,43421.2406015038,Completed,Store,Kolkata,West Bengal,India
North,2026-03-10,ORD1065,CUST065,PROD065,Tablet,Electronics,-1.17368421052632,71495.1127819549,43613.1578947368,4408.12030075188,15494.1353383459,43100.3759398497,Completed,Online,Jaipur,Rajasthan,India
South,2026-03-11,ORD1066,CUST066,PROD066,Printer,Electronics,-1.28421052631579,71341.3533834586,43957.8947368421,4417.44360902256,15484.6240601504,42779.5112781955,Completed,Store,Chennai,Tamil Nadu,India
West,2026-03-12,ORD1067,CUST067,PROD067,Monitor,Electronics,-1.39473684210526,71187.5939849624,44302.6315789474,4426.76691729323,15475.1127819549,42458.6466165414,Completed,Online,Pune,Maharashtra,India
East,2026-03-13,ORD1068,CUST068,PROD068,Keyboard,Accessories,-1.50526315789474,71033.8345864662,44647.3684210526,4436.09022556391,15465.6015037594,42137.7819548873,Completed,Store,Bhubaneswar,Odisha,India
North,2026-03-14,ORD1069,CUST069,PROD069,Mouse,Accessories,-1.61578947368421,70880.0751879699,44992.1052631579,4445.41353383459,15456.0902255639,41816.9172932331,Completed,Online,Lucknow,Uttar Pradesh,India
South,2026-03-15,ORD1070,CUST070,PROD070,Headphones,Accessories,-1.72631578947368,70726.3157894737,45336.8421052632,4454.73684210526,15446.5789473684,41496.052631579,Completed,Online,Hyderabad,Telangana,India
West,2026-03-16,ORD1071,CUST071,PROD071,Sofa,Furniture,-1.83684210526316,70572.5563909774,45681.5789473684,4464.06015037594,15437.0676691729,41175.1879699249,Completed,Store,Ahmedabad,Gujarat,India
East,2026-03-17,ORD1072,CUST072,PROD072,Table,Furniture,-1.94736842105263,70418.7969924812,46026.3157894737,4473.38345864662,15427.5563909774,40854.3233082707,Completed,Online,Patna,Bihar,India
North,2026-03-18,ORD1073,CUST073,PROD073,Laptop,Electronics,-2.05789473684211,70265.037593985,46371.052631579,4482.70676691729,15418.0451127819,40533.4586466166,Completed,Store,Chandigarh,Chandigarh,India
South,2026-03-19,ORD1074,CUST074,PROD074,Phone,Electronics,-2.16842105263158,70111.2781954887,46715.7894736842,4492.03007518797,15408.5338345865,40212.5939849625,Completed,Online,Kochi,Kerala,India
West,2026-03-20,ORD1075,CUST075,PROD075,Office Chair,Furniture,-2.27894736842105,69957.5187969925,47060.5263157895,4501.35338345865,15399.022556391,39891.7293233083,Completed,Store,Surat,Gujarat,India
East,2026-03-21,ORD1076,CUST076,PROD076,Printer,Electronics,-2.38947368421053,69803.7593984962,47405.2631578947,4510.67669172932,15389.5112781955,39570.8646616542,Completed,Online,Ranchi,Jharkhand,India
North,2026-03-22,ORD1077,CUST077,PROD077,Monitor,Electronics,-2.5,69650.0,47750.0,4520.0,15380.0,39250.0000000001,Completed,Online,Delhi,Delhi,India
South,2026-03-23,ORD1078,CUST078,PROD078,Desk,Furniture,-2.61052631578947,69496.2406015038,48094.7368421053,4529.32330827068,15370.4887218045,38929.1353383459,Completed,Store,Bengaluru,Karnataka,India
West,2026-03-24,ORD1079,CUST079,PROD079,Tablet,Electronics,-2.72105263157895,69342.4812030075,48439.4736842105,4538.64661654135,15360.977443609,38608.2706766918,Completed,Online,Mumbai,Maharashtra,India
East,2026-03-25,ORD1080,CUST080,PROD080,Laptop,Electronics,-2.83157894736842,69188.7218045113,48784.2105263158,4547.96992481203,15351.4661654135,38287.4060150377,Completed,Store,Kolkata,West Bengal,India
North,2026-03-26,ORD1081,CUST081,PROD081,Laptop,Electronics,-2.94210526315789,69034.962406015,49128.9473684211,4557.29323308271,15341.954887218,37966.5413533835,Completed,Online,Delhi,Delhi,India
South,2026-03-27,ORD1082,CUST082,PROD082,Phone,Electronics,-3.05263157894737,68881.2030075188,49473.6842105263,4566.61654135338,15332.4436090225,37645.6766917294,Completed,Store,Bengaluru,Karnataka,India
West,2026-03-28,ORD1083,CUST083,PROD083,Chair,Furniture,-3.16315789473684,68727.4436090226,49818.4210526316,4575.93984962406,15322.9323308271,37324.8120300753,Completed,Online,Mumbai,Maharashtra,India
East,2026-03-29,ORD1084,CUST084,PROD084,Desk,Furniture,-3.27368421052632,68573.6842105263,50163.1578947368,4585.26315789474,15313.4210526316,37003.9473684211,Completed,Store,Kolkata,West Bengal,India
North,2026-03-30,ORD1085,CUST085,PROD085,Tablet,Electronics,-3.38421052631579,68419.9248120301,50507.8947368421,4594.58646616541,15303.9097744361,36683.082706767,Completed,Online,Jaipur,Rajasthan,India
South,2026-03-31,ORD1086,CUST086,PROD086,Printer,Electronics,-3.49473684210526,68266.1654135338,50852.6315789474,4603.90977443609,15294.3984962406,36362.2180451129,Completed,Store,Chennai,Tamil Nadu,India
West,2026-04-01,ORD1087,CUST087,PROD087,Monitor,Electronics,-3.60526315789474,68112.4060150376,51197.3684210526,4613.23308270677,15284.8872180451,36041.3533834587,Completed,Online,Pune,Maharashtra,India
East,2026-04-02,ORD1088,CUST088,PROD088,Keyboard,Accessories,-3.71578947368421,67958.6466165413,51542.1052631579,4622.55639097744,15275.3759398496,35720.4887218046,Completed,Store,Bhubaneswar,Odisha,India
North,2026-04-03,ORD1089,CUST089,PROD089,Mouse,Accessories,-3.82631578947368,67804.8872180451,51886.8421052632,4631.87969924812,15265.8646616541,35399.6240601505,Completed,Online,Lucknow,Uttar Pradesh,India
South,2026-04-04,ORD1090,CUST090,PROD090,Headphones,Accessories,-3.93684210526316,67651.1278195489,52231.5789473684,4641.2030075188,15256.3533834586,35078.7593984963,Completed,Online,Hyderabad,Telangana,India
West,2026-04-05,ORD1091,CUST091,PROD091,Sofa,Furniture,-4.04736842105263,67497.3684210526,52576.3157894737,4650.52631578947,15246.8421052632,34757.8947368422,Completed,Store,Ahmedabad,Gujarat,India
East,2026-04-06,ORD1092,CUST092,PROD092,Table,Furniture,-4.1578947368421,67343.6090225564,52921.052631579,4659.84962406015,15237.3308270677,34437.030075188,Completed,Online,Patna,Bihar,India
North,2026-04-07,ORD1093,CUST093,PROD093,Laptop,Electronics,-4.2684210526316,67189.8496240601,53265.7894736842,4669.17293233083,15227.8195488722,34116.1654135339,Completed,Store,Chandigarh,Chandigarh,India
South,2026-04-08,ORD1094,CUST094,PROD094,Phone,Electronics,-4.3789473684211,67036.0902255639,53610.5263157895,4678.4962406015,15218.3082706767,33795.3007518798,Completed,Online,Kochi,Kerala,India
West,2026-04-09,ORD1095,CUST095,PROD095,Office Chair,Furniture,-4.4894736842105,66882.3308270677,53955.2631578947,4687.81954887218,15208.7969924812,33474.4360902256,Completed,Store,Surat,Gujarat,India
East,2026-04-10,ORD1096,CUST096,PROD096,Printer,Electronics,-4.6,66728.5714285714,54300.0,4697.14285714286,15199.2857142857,33153.5714285715,Completed,Online,Ranchi,Jharkhand,India
North,2026-04-11,ORD1097,CUST097,PROD097,Monitor,Electronics,-4.7105263157895,66574.8120300752,54644.7368421053,4706.46616541353,15189.7744360902,32832.7067669174,Completed,Online,Delhi,Delhi,India
South,2026-04-12,ORD1098,CUST098,PROD098,Desk,Furniture,-4.8210526315789,66421.0526315789,54989.4736842105,4715.78947368421,15180.2631578947,32511.8421052632,Completed,Store,Bengaluru,Karnataka,India
West,2026-04-13,ORD1099,CUST099,PROD099,Tablet,Electronics,-4.9315789473684,66267.2932330827,55334.2105263158,4725.11278195489,15170.7518796992,32190.9774436091,Completed,Online,Mumbai,Maharashtra,India
East,2026-04-14,ORD1100,CUST100,PROD100,Laptop,Electronics,-5.0421052631579,66113.5338345865,55678.9473684211,4734.43609022556,15161.2406015038,31870.112781955,Completed,Store,Kolkata,West Bengal,India
North,2026-04-15,ORD1101,CUST101,PROD101,Laptop,Electronics,-5.1526315789474,65959.7744360902,56023.6842105263,4743.75939849624,15151.7293233083,31549.2481203008,Completed,Online,Delhi,Delhi,India
South,2026-04-16,ORD1102,CUST102,PROD102,Phone,Electronics,-5.2631578947368,65806.015037594,56368.4210526316,4753.08270676692,15142.2180451128,31228.3834586467,Completed,Store,Bengaluru,Karnataka,India
West,2026-04-17,ORD1103,CUST103,PROD103,Chair,Furniture,-5.3736842105263,65652.2556390977,56713.1578947368,4762.40601503759,15132.7067669173,30907.5187969926,Completed,Online,Mumbai,Maharashtra,India
East,2026-04-18,ORD1104,CUST104,PROD104,Desk,Furniture,-5.4842105263158,65498.4962406015,57057.8947368421,4771.72932330827,15123.1954887218,30586.6541353384,Completed,Store,Kolkata,West Bengal,India
North,2026-04-19,ORD1105,CUST105,PROD105,Tablet,Electronics,-5.5947368421053,65344.7368421053,57402.6315789474,4781.05263157895,15113.6842105263,30265.7894736843,Completed,Online,Jaipur,Rajasthan,India
South,2026-04-20,ORD1106,CUST106,PROD106,Printer,Electronics,-5.7052631578947,65190.977443609,57747.3684210526,4790.37593984962,15104.1729323308,29944.9248120302,Completed,Store,Chennai,Tamil Nadu,India
West,2026-04-21,ORD1107,CUST107,PROD107,Monitor,Electronics,-5.8157894736842,65037.2180451128,58092.1052631579,4799.6992481203,15094.6616541353,29624.060150376,Completed,Online,Pune,Maharashtra,India
East,2026-04-22,ORD1108,CUST108,PROD108,Keyboard,Accessories,-5.9263157894737,64883.4586466165,58436.8421052632,4809.02255639098,15085.1503759398,29303.1954887219,Completed,Store,Bhubaneswar,Odisha,India
North,2026-04-23,ORD1109,CUST109,PROD109,Mouse,Accessories,-6.0368421052632,64729.6992481203,58781.5789473684,4818.34586466165,15075.6390977444,28982.3308270678,Completed,Online,Lucknow,Uttar Pradesh,India
South,2026-04-24,ORD1110,CUST110,PROD110,Headphones,Accessories,-6.1473684210526,64575.939849624,59126.3157894737,4827.66917293233,15066.1278195489,28661.4661654136,Completed,Online,Hyderabad,Telangana,India
West,2026-04-25,ORD1111,CUST111,PROD111,Sofa,Furniture,-6.2578947368421,64422.1804511278,59471.0526315789,4836.99248120301,15056.6165413534,28340.6015037595,Completed,Store,Ahmedabad,Gujarat,India
East,2026-04-26,ORD1112,CUST112,PROD112,Table,Furniture,-6.3684210526316,64268.4210526316,59815.7894736842,4846.31578947368,15047.1052631579,28019.7368421054,Completed,Online,Patna,Bihar,India
North,2026-04-27,ORD1113,CUST113,PROD113,Laptop,Electronics,-6.4789473684211,64114.6616541353,60160.5263157895,4855.63909774436,15037.5939849624,27698.8721804512,Completed,Store,Chandigarh,Chandigarh,India
South,2026-04-28,ORD1114,CUST114,PROD114,Phone,Electronics,-6.5894736842105,63960.9022556391,60505.2631578947,4864.96240601504,15028.0827067669,27378.0075187971,Completed,Online,Kochi,Kerala,India
West,2026-04-29,ORD1115,CUST115,PROD115,Office Chair,Furniture,-6.7,63807.1428571428,60850.0,4874.28571428571,15018.5714285714,27057.142857143,Completed,Store,Surat,Gujarat,India
East,2026-04-30,ORD1116,CUST116,PROD116,Printer,Electronics,-6.8105263157895,63653.3834586466,61194.7368421053,4883.60902255639,15009.0601503759,26736.2781954888,Completed,Online,Ranchi,Jharkhand,India
North,2026-05-01,ORD1117,CUST117,PROD117,Monitor,Electronics,-6.9210526315789,63499.6240601504,61539.4736842105,4892.93233082707,14999.5488721804,26415.4135338347,Completed,Online,Delhi,Delhi,India
South,2026-05-02,ORD1118,CUST118,PROD118,Desk,Furniture,-7.0315789473684,63345.8646616541,61884.2105263158,4902.25563909774,14990.037593985,26094.5488721805,Completed,Store,Bengaluru,Karnataka,India
West,2026-05-03,ORD1119,CUST119,PROD119,Tablet,Electronics,-7.1421052631579,63192.1052631579,62228.9473684211,4911.57894736842,14980.5263157895,25773.6842105264,Completed,Online,Mumbai,Maharashtra,India
East,2026-05-04,ORD1120,CUST120,PROD120,Laptop,Electronics,-7.2526315789474,63038.3458646616,62573.6842105263,4920.9022556391,14971.015037594,25452.8195488723,Completed,Store,Kolkata,West Bengal,India
North,2026-05-05,ORD1121,CUST121,PROD121,Laptop,Electronics,-7.3631578947368,62884.5864661654,62918.4210526316,4930.22556390977,14961.5037593985,25131.9548872181,Completed,Online,Delhi,Delhi,India
South,2026-05-06,ORD1122,CUST122,PROD122,Phone,Electronics,-7.4736842105263,62730.8270676692,63263.1578947368,4939.54887218045,14951.992481203,24811.090225564,Completed,Store,Bengaluru,Karnataka,India
West,2026-05-07,ORD1123,CUST123,PROD123,Chair,Furniture,-7.5842105263158,62577.0676691729,63607.8947368421,4948.87218045113,14942.4812030075,24490.2255639099,Completed,Online,Mumbai,Maharashtra,India
East,2026-05-08,ORD1124,CUST124,PROD124,Desk,Furniture,-7.6947368421053,62423.3082706767,63952.6315789474,4958.1954887218,14932.969924812,24169.3609022557,Completed,Store,Kolkata,West Bengal,India
North,2026-05-09,ORD1125,CUST125,PROD125,Tablet,Electronics,-7.8052631578947,62269.5488721804,64297.3684210526,4967.51879699248,14923.4586466165,23848.4962406016,Completed,Online,Jaipur,Rajasthan,India
South,2026-05-10,ORD1126,CUST126,PROD126,Printer,Electronics,-7.9157894736842,62115.7894736842,64642.1052631579,4976.84210526316,14913.947368421,23527.6315789475,Completed,Store,Chennai,Tamil Nadu,India
West,2026-05-11,ORD1127,CUST127,PROD127,Monitor,Electronics,-8.0263157894737,61962.030075188,64986.8421052632,4986.16541353383,14904.4360902256,23206.7669172933,Completed,Online,Pune,Maharashtra,India
East,2026-05-12,ORD1128,CUST128,PROD128,Keyboard,Accessories,-8.1368421052632,61808.2706766917,65331.5789473684,4995.48872180451,14894.9248120301,22885.9022556392,Completed,Store,Bhubaneswar,Odisha,India
North,2026-05-13,ORD1129,CUST129,PROD129,Mouse,Accessories,-8.2473684210526,61654.5112781955,65676.3157894737,5004.81203007519,14885.4135338346,22565.0375939851,Completed,Online,Lucknow,Uttar Pradesh,India
South,2026-05-14,ORD1130,CUST130,PROD130,Headphones,Accessories,-8.3578947368421,61500.7518796992,66021.0526315789,5014.13533834586,14875.9022556391,22244.1729323309,Completed,Online,Hyderabad,Telangana,India
West,2026-05-15,ORD1131,CUST131,PROD131,Sofa,Furniture,-8.4684210526316,61346.992481203,66365.7894736842,5023.45864661654,14866.3909774436,21923.3082706768,Completed,Store,Ahmedabad,Gujarat,India
East,2026-05-16,ORD1132,CUST132,PROD132,Table,Furniture,-8.5789473684211,61193.2330827068,66710.5263157895,5032.78195488722,14856.8796992481,21602.4436090227,Completed,Online,Patna,Bihar,India
North,2026-05-17,ORD1133,CUST133,PROD133,Laptop,Electronics,-8.6894736842105,61039.4736842105,67055.2631578947,5042.10526315789,14847.3684210526,21281.5789473685,Completed,Store,Chandigarh,Chandigarh,India
South,2026-05-18,ORD1134,CUST134,PROD134,Phone,Electronics,-8.8,60885.7142857143,67400.0,5051.42857142857,14837.8571428571,20960.7142857144,Completed,Online,Kochi,Kerala,India
West,2026-05-19,ORD1135,CUST135,PROD135,Office Chair,Furniture,-8.9105263157895,60731.954887218,67744.7368421053,5060.75187969925,14828.3458646616,20639.8496240603,Completed,Store,Surat,Gujarat,India
East,2026-05-20,ORD1136,CUST136,PROD136,Printer,Electronics,-9.0210526315789,60578.1954887218,68089.4736842105,5070.07518796992,14818.8345864662,20318.9849624061,Completed,Online,Ranchi,Jharkhand,India
