Return_ID,Return_Date,Order_ID,Customer_ID,Product_ID,Product_Name,Category,Region,City,Quantity,Return_Value,Return_Reason,Return_Status,Sales_Amount,Order_Date
RET049,2026-09-05,ORD049,CUST049,PROD049,Table,Furniture,North,Delhi,0.768421052631579,15814.7368421053,Damaged,Rejected,18402.6315789474,2026-08-31
RET050,2026-09-05,ORD050,CUST050,PROD050,Tablet,Electronics,West,Mumbai,0.74812030075188,15802.7819548872,Changed Mind,Approved,18407.8947368421,2026-09-01
RET051,2026-09-06,ORD051,CUST051,PROD051,Jeans,Fashion,South,Chennai,0.727819548872183,15790.8270676692,Wrong Size,Approved,18413.1578947368,2026-09-01
RET052,2026-09-06,ORD052,CUST052,PROD052,Printer,Electronics,East,Kolkata,0.707518796992483,15778.8721804511,Defective,Approved,18418.4210526316,2026-09-02
RET053,2026-09-07,ORD053,CUST053,PROD053,Sofa,Furniture,South,Bengaluru,0.687218045112783,15766.9172932331,Damaged,Pending,18423.6842105263,2026-09-02
RET054,2026-09-07,ORD054,CUST054,PROD054,Smart Watch,Electronics,West,Pune,0.666917293233083,15754.962406015,Wrong Item,Approved,18428.9473684211,2026-09-03
RET055,2026-09-08,ORD055,CUST055,PROD055,Jacket,Fashion,North,Delhi,0.646616541353383,15743.007518797,Wrong Size,Approved,18434.2105263158,2026-09-03
RET056,2026-09-08,ORD056,CUST056,PROD056,Mouse,Electronics,South,Hyderabad,0.626315789473683,15731.0526315789,Defective,Approved,18439.4736842105,2026-09-04
RET057,2026-09-09,ORD057,CUST057,PROD057,Desk,Furniture,East,Kolkata,0.606015037593983,15719.0977443609,Changed Mind,Rejected,18444.7368421053,2026-09-04
RET058,2026-09-09,ORD058,CUST058,PROD058,Camera,Electronics,West,Mumbai,0.585714285714283,15707.1428571429,Damaged,Approved,18450.0,2026-09-05
RET059,2026-09-10,ORD059,CUST059,PROD059,Sneakers,Fashion,South,Bengaluru,0.565413533834583,15695.1879699248,Wrong Size,Approved,18455.2631578947,2026-09-05
RET060,2026-09-10,ORD060,CUST060,PROD060,Air Conditioner,Electronics,North,Delhi,0.545112781954883,15683.2330827068,Defective,Approved,18460.5263157895,2026-09-06
RET061,2026-09-01,ORD061,CUST061,PROD061,Laptop,Electronics,South,Bengaluru,0.524812030075193,15671.2781954887,Damaged,Approved,18465.7894736842,2026-08-25
RET062,2026-09-01,ORD062,CUST062,PROD062,Mobile Phone,Electronics,West,Mumbai,0.504511278195493,15659.3233082707,Wrong Item,Approved,18471.052631579,2026-08-26
RET063,2026-09-02,ORD063,CUST063,PROD063,Office Chair,Furniture,South,Chennai,0.484210526315793,15647.3684210526,Defective,Approved,18476.3157894737,2026-08-27
RET064,2026-09-02,ORD064,CUST064,PROD064,Headphones,Electronics,North,Delhi,0.463909774436093,15635.4135338346,Changed Mind,Pending,18481.5789473684,2026-08-28
RET065,2026-09-03,ORD065,CUST065,PROD065,Shoes,Fashion,West,Pune,0.443609022556393,15623.4586466165,Wrong Size,Approved,18486.8421052632,2026-08-28
RET066,2026-09-03,ORD066,CUST066,PROD066,Keyboard,Electronics,South,Hyderabad,0.423308270676693,15611.5037593985,Damaged,Approved,18492.1052631579,2026-08-29
RET067,2026-09-04,ORD067,CUST067,PROD067,Monitor,Electronics,East,Kolkata,0.403007518796993,15599.5488721804,Defective,Approved,18497.3684210526,2026-08-30
RET068,2026-09-04,ORD068,CUST068,PROD068,T-Shirt,Fashion,South,Bengaluru,0.382706766917293,15587.5939849624,Wrong Size,Approved,18502.6315789474,2026-08-30
RET069,2026-09-05,ORD069,CUST069,PROD069,Table,Furniture,North,Delhi,0.362406015037593,15575.6390977444,Damaged,Rejected,18507.8947368421,2026-08-31
RET070,2026-09-05,ORD070,CUST070,PROD070,Tablet,Electronics,West,Mumbai,0.342105263157893,15563.6842105263,Changed Mind,Approved,18513.1578947368,2026-09-01
RET071,2026-09-06,ORD071,CUST071,PROD071,Jeans,Fashion,South,Chennai,0.321804511278193,15551.7293233083,Wrong Size,Approved,18518.4210526316,2026-09-01
RET072,2026-09-06,ORD072,CUST072,PROD072,Printer,Electronics,East,Kolkata,0.301503759398493,15539.7744360902,Defective,Approved,18523.6842105263,2026-09-02
RET073,2026-09-07,ORD073,CUST073,PROD073,Sofa,Furniture,South,Bengaluru,0.281203007518793,15527.8195488722,Damaged,Pending,18528.9473684211,2026-09-02
RET074,2026-09-07,ORD074,CUST074,PROD074,Smart Watch,Electronics,West,Pune,0.260902255639103,15515.8646616541,Wrong Item,Approved,18534.2105263158,2026-09-03
RET075,2026-09-08,ORD075,CUST075,PROD075,Jacket,Fashion,North,Delhi,0.240601503759403,15503.9097744361,Wrong Size,Approved,18539.4736842105,2026-09-03
RET076,2026-09-08,ORD076,CUST076,PROD076,Mouse,Electronics,South,Hyderabad,0.220300751879703,15491.954887218,Defective,Approved,18544.7368421053,2026-09-04
RET077,2026-09-09,ORD077,CUST077,PROD077,Desk,Furniture,East,Kolkata,0.200000000000003,15480.0,Changed Mind,Rejected,18550.0,2026-09-04
RET078,2026-09-09,ORD078,CUST078,PROD078,Camera,Electronics,West,Mumbai,0.179699248120303,15468.0451127819,Damaged,Approved,18555.2631578947,2026-09-05
RET079,2026-09-10,ORD079,CUST079,PROD079,Sneakers,Fashion,South,Bengaluru,0.159398496240603,15456.0902255639,Wrong Size,Approved,18560.5263157895,2026-09-05
RET080,2026-09-10,ORD080,CUST080,PROD080,Air Conditioner,Electronics,North,Delhi,0.139097744360903,15444.1353383459,Defective,Approved,18565.7894736842,2026-09-06
RET081,2026-09-01,ORD081,CUST081,PROD081,Laptop,Electronics,South,Bengaluru,0.118796992481203,15432.1804511278,Damaged,Approved,18571.052631579,2026-08-25
RET082,2026-09-01,ORD082,CUST082,PROD082,Mobile Phone,Electronics,West,Mumbai,0.0984962406015029,15420.2255639098,Wrong Item,Approved,18576.3157894737,2026-08-26
RET083,2026-09-02,ORD083,CUST083,PROD083,Office Chair,Furniture,South,Chennai,0.0781954887218028,15408.2706766917,Defective,Approved,18581.5789473684,2026-08-27
RET084,2026-09-02,ORD084,CUST084,PROD084,Headphones,Electronics,North,Delhi,0.0578947368421028,15396.3157894737,Changed Mind,Pending,18586.8421052632,2026-08-28
RET085,2026-09-03,ORD085,CUST085,PROD085,Shoes,Fashion,West,Pune,0.037593984962403,15384.3609022556,Wrong Size,Approved,18592.1052631579,2026-08-28
RET086,2026-09-03,ORD086,CUST086,PROD086,Keyboard,Electronics,South,Hyderabad,0.0172932330827029,15372.4060150376,Damaged,Approved,18597.3684210526,2026-08-29
RET087,2026-09-04,ORD087,CUST087,PROD087,Monitor,Electronics,East,Kolkata,-0.00300751879698713,15360.4511278195,Defective,Approved,18602.6315789474,2026-08-30
RET088,2026-09-04,ORD088,CUST088,PROD088,T-Shirt,Fashion,South,Bengaluru,-0.0233082706766872,15348.4962406015,Wrong Size,Approved,18607.8947368421,2026-08-30
RET089,2026-09-05,ORD089,CUST089,PROD089,Table,Furniture,North,Delhi,-0.0436090225563872,15336.5413533835,Damaged,Rejected,18613.1578947368,2026-08-31
RET090,2026-09-05,ORD090,CUST090,PROD090,Tablet,Electronics,West,Mumbai,-0.063909774436087,15324.5864661654,Changed Mind,Approved,18618.4210526316,2026-09-01
RET091,2026-09-06,ORD091,CUST091,PROD091,Jeans,Fashion,South,Chennai,-0.0842105263157871,15312.6315789474,Wrong Size,Approved,18623.6842105263,2026-09-01
RET092,2026-09-06,ORD092,CUST092,PROD092,Printer,Electronics,East,Kolkata,-0.104511278195487,15300.6766917293,Defective,Approved,18628.9473684211,2026-09-02
RET093,2026-09-07,ORD093,CUST093,PROD093,Sofa,Furniture,South,Bengaluru,-0.124812030075187,15288.7218045113,Damaged,Pending,18634.2105263158,2026-09-02
RET094,2026-09-07,ORD094,CUST094,PROD094,Smart Watch,Electronics,West,Pune,-0.145112781954887,15276.7669172932,Wrong Item,Approved,18639.4736842105,2026-09-03
RET095,2026-09-08,ORD095,CUST095,PROD095,Jacket,Fashion,North,Delhi,-0.165413533834587,15264.8120300752,Wrong Size,Approved,18644.7368421053,2026-09-03
RET096,2026-09-08,ORD096,CUST096,PROD096,Mouse,Electronics,South,Hyderabad,-0.185714285714287,15252.8571428571,Defective,Approved,18650.0,2026-09-04
RET097,2026-09-09,ORD097,CUST097,PROD097,Desk,Furniture,East,Kolkata,-0.206015037593987,15240.9022556391,Changed Mind,Rejected,18655.2631578947,2026-09-04
RET098,2026-09-09,ORD098,CUST098,PROD098,Camera,Electronics,West,Mumbai,-0.226315789473687,15228.947368421,Damaged,Approved,18660.5263157895,2026-09-05
RET099,2026-09-10,ORD099,CUST099,PROD099,Sneakers,Fashion,South,Bengaluru,-0.246616541353387,15216.992481203,Wrong Size,Approved,18665.7894736842,2026-09-05
RET100,2026-09-10,ORD100,CUST100,PROD100,Air Conditioner,Electronics,North,Delhi,-0.266917293233077,15205.037593985,Defective,Approved,18671.052631579,2026-09-06
RET101,2026-09-01,ORD101,CUST101,PROD101,Laptop,Electronics,South,Bengaluru,-0.287218045112777,15193.0827067669,Damaged,Approved,18676.3157894737,2026-08-25
RET102,2026-09-01,ORD102,CUST102,PROD102,Mobile Phone,Electronics,West,Mumbai,-0.307518796992477,15181.1278195489,Wrong Item,Approved,18681.5789473684,2026-08-26
RET103,2026-09-02,ORD103,CUST103,PROD103,Office Chair,Furniture,South,Chennai,-0.327819548872177,15169.1729323308,Defective,Approved,18686.8421052632,2026-08-27
RET104,2026-09-02,ORD104,CUST104,PROD104,Headphones,Electronics,North,Delhi,-0.348120300751877,15157.2180451128,Changed Mind,Pending,18692.1052631579,2026-08-28
RET105,2026-09-03,ORD105,CUST105,PROD105,Shoes,Fashion,West,Pune,-0.368421052631577,15145.2631578947,Wrong Size,Approved,18697.3684210526,2026-08-28
RET106,2026-09-03,ORD106,CUST106,PROD106,Keyboard,Electronics,South,Hyderabad,-0.388721804511277,15133.3082706767,Damaged,Approved,18702.6315789474,2026-08-29
RET107,2026-09-04,ORD107,CUST107,PROD107,Monitor,Electronics,East,Kolkata,-0.409022556390977,15121.3533834586,Defective,Approved,18707.8947368421,2026-08-30
RET108,2026-09-04,ORD108,CUST108,PROD108,T-Shirt,Fashion,South,Bengaluru,-0.429323308270677,15109.3984962406,Wrong Size,Approved,18713.1578947368,2026-08-30
RET109,2026-09-05,ORD109,CUST109,PROD109,Table,Furniture,North,Delhi,-0.449624060150377,15097.4436090225,Damaged,Rejected,18718.4210526316,2026-08-31
RET110,2026-09-05,ORD110,CUST110,PROD110,Tablet,Electronics,West,Mumbai,-0.469924812030077,15085.4887218045,Changed Mind,Approved,18723.6842105263,2026-09-01
RET111,2026-09-06,ORD111,CUST111,PROD111,Jeans,Fashion,South,Chennai,-0.490225563909777,15073.5338345865,Wrong Size,Approved,18728.9473684211,2026-09-01
RET112,2026-09-06,ORD112,CUST112,PROD112,Printer,Electronics,East,Kolkata,-0.510526315789477,15061.5789473684,Defective,Approved,18734.2105263158,2026-09-02
RET113,2026-09-07,ORD113,CUST113,PROD113,Sofa,Furniture,South,Bengaluru,-0.530827067669177,15049.6240601504,Damaged,Pending,18739.4736842105,2026-09-02
RET114,2026-09-07,ORD114,CUST114,PROD114,Smart Watch,Electronics,West,Pune,-0.551127819548867,15037.6691729323,Wrong Item,Approved,18744.7368421053,2026-09-03
RET115,2026-09-08,ORD115,CUST115,PROD115,Jacket,Fashion,North,Delhi,-0.571428571428567,15025.7142857143,Wrong Size,Approved,18750.0,2026-09-03
RET116,2026-09-08,ORD116,CUST116,PROD116,Mouse,Electronics,South,Hyderabad,-0.591729323308267,15013.7593984962,Defective,Approved,18755.2631578947,2026-09-04
RET117,2026-09-09,ORD117,CUST117,PROD117,Desk,Furniture,East,Kolkata,-0.612030075187967,15001.8045112782,Changed Mind,Rejected,18760.5263157895,2026-09-04
RET118,2026-09-09,ORD118,CUST118,PROD118,Camera,Electronics,West,Mumbai,-0.632330827067667,14989.8496240601,Damaged,Approved,18765.7894736842,2026-09-05
RET119,2026-09-10,ORD119,CUST119,PROD119,Sneakers,Fashion,South,Bengaluru,-0.652631578947367,14977.8947368421,Wrong Size,Approved,18771.052631579,2026-09-05
RET120,2026-09-10,ORD120,CUST120,PROD120,Air Conditioner,Electronics,North,Delhi,-0.672932330827067,14965.939849624,Defective,Approved,18776.3157894737,2026-09-06
RET121,2026-09-01,ORD121,CUST121,PROD121,Laptop,Electronics,South,Bengaluru,-0.693233082706767,14953.984962406,Damaged,Approved,18781.5789473684,2026-08-25
RET122,2026-09-01,ORD122,CUST122,PROD122,Mobile Phone,Electronics,West,Mumbai,-0.713533834586467,14942.030075188,Wrong Item,Approved,18786.8421052632,2026-08-26
RET123,2026-09-02,ORD123,CUST123,PROD123,Office Chair,Furniture,South,Chennai,-0.733834586466167,14930.0751879699,Defective,Approved,18792.1052631579,2026-08-27
RET124,2026-09-02,ORD124,CUST124,PROD124,Headphones,Electronics,North,Delhi,-0.754135338345867,14918.1203007519,Changed Mind,Pending,18797.3684210526,2026-08-28
RET125,2026-09-03,ORD125,CUST125,PROD125,Shoes,Fashion,West,Pune,-0.774436090225567,14906.1654135338,Wrong Size,Approved,18802.6315789474,2026-08-28
RET126,2026-09-03,ORD126,CUST126,PROD126,Keyboard,Electronics,South,Hyderabad,-0.794736842105267,14894.2105263158,Damaged,Approved,18807.8947368421,2026-08-29
RET127,2026-09-04,ORD127,CUST127,PROD127,Monitor,Electronics,East,Kolkata,-0.815037593984957,14882.2556390977,Defective,Approved,18813.1578947368,2026-08-30
RET128,2026-09-04,ORD128,CUST128,PROD128,T-Shirt,Fashion,South,Bengaluru,-0.835338345864657,14870.3007518797,Wrong Size,Approved,18818.4210526316,2026-08-30
RET129,2026-09-05,ORD129,CUST129,PROD129,Table,Furniture,North,Delhi,-0.855639097744357,14858.3458646616,Damaged,Rejected,18823.6842105263,2026-08-31
RET130,2026-09-05,ORD130,CUST130,PROD130,Tablet,Electronics,West,Mumbai,-0.875939849624057,14846.3909774436,Changed Mind,Approved,18828.9473684211,2026-09-01
RET131,2026-09-06,ORD131,CUST131,PROD131,Jeans,Fashion,South,Chennai,-0.896240601503757,14834.4360902256,Wrong Size,Approved,18834.2105263158,2026-09-01
RET132,2026-09-06,ORD132,CUST132,PROD132,Printer,Electronics,East,Kolkata,-0.916541353383457,14822.4812030075,Defective,Approved,18839.4736842105,2026-09-02
RET133,2026-09-07,ORD133,CUST133,PROD133,Sofa,Furniture,South,Bengaluru,-0.936842105263157,14810.5263157895,Damaged,Pending,18844.7368421053,2026-09-02
RET134,2026-09-07,ORD134,CUST134,PROD134,Smart Watch,Electronics,West,Pune,-0.957142857142857,14798.5714285714,Wrong Item,Approved,18850.0,2026-09-03
RET135,2026-09-08,ORD135,CUST135,PROD135,Jacket,Fashion,North,Delhi,-0.977443609022557,14786.6165413534,Wrong Size,Approved,18855.2631578947,2026-09-03
RET136,2026-09-08,ORD136,CUST136,PROD136,Mouse,Electronics,South,Hyderabad,-0.997744360902257,14774.6616541353,Defective,Approved,18860.5263157895,2026-09-04
RET137,2026-09-09,ORD137,CUST137,PROD137,Desk,Furniture,East,Kolkata,-1.01804511278196,14762.7067669173,Changed Mind,Rejected,18865.7894736842,2026-09-04
RET138,2026-09-09,ORD138,CUST138,PROD138,Camera,Electronics,West,Mumbai,-1.03834586466166,14750.7518796992,Damaged,Approved,18871.052631579,2026-09-05
RET139,2026-09-10,ORD139,CUST139,PROD139,Sneakers,Fashion,South,Bengaluru,-1.05864661654136,14738.7969924812,Wrong Size,Approved,18876.3157894737,2026-09-05
RET140,2026-09-10,ORD140,CUST140,PROD140,Air Conditioner,Electronics,North,Delhi,-1.07894736842105,14726.8421052631,Defective,Approved,18881.5789473684,2026-09-06
RET141,2026-09-01,ORD141,CUST141,PROD141,Laptop,Electronics,South,Bengaluru,-1.09924812030075,14714.8872180451,Damaged,Approved,18886.8421052632,2026-08-25
RET142,2026-09-01,ORD142,CUST142,PROD142,Mobile Phone,Electronics,West,Mumbai,-1.11954887218045,14702.9323308271,Wrong Item,Approved,18892.1052631579,2026-08-26
RET143,2026-09-02,ORD143,CUST143,PROD143,Office Chair,Furniture,South,Chennai,-1.13984962406015,14690.977443609,Defective,Approved,18897.3684210526,2026-08-27
RET144,2026-09-02,ORD144,CUST144,PROD144,Headphones,Electronics,North,Delhi,-1.16015037593985,14679.022556391,Changed Mind,Pending,18902.6315789474,2026-08-28
RET145,2026-09-03,ORD145,CUST145,PROD145,Shoes,Fashion,West,Pune,-1.18045112781955,14667.0676691729,Wrong Size,Approved,18907.8947368421,2026-08-28
RET146,2026-09-03,ORD146,CUST146,PROD146,Keyboard,Electronics,South,Hyderabad,-1.20075187969925,14655.1127819549,Damaged,Approved,18913.1578947368,2026-08-29
