Date,Region,Orders,Customers,Revenue,Cost,Profit,Units_Sold,Return_Rate
2025-01-13,South,11,9.0,29728.56,17113.66,12614.9,19,2.79
2025-01-13,East,17,14.0,69540.19,48624.26,20915.93,25,4.88
2025-01-13,West,9,7.0,36302.1,19989.75,16312.35,18,2.56
2025-01-13,Central,19,13.0,58830.3,37354.42,21475.88,27,6.13
2025-01-14,North,18,16.0,54354.56,36783.54,17571.02,46,4.82
2025-01-14,South,18,15.0,70774.53,46743.3,24031.23,46,3.81
2025-01-14,East,11,7.0,39244.45,23068.07,16176.38,22,1.72
2025-01-14,West,13,8.0,29308.77,19228.61,10080.16,31,4.23
2025-01-14,Central,18,13.0,71202.06,45417.39,25784.67,24,5.24
2025-01-15,North,15,11.0,36930.65,23701.89,13228.76,31,6.12
2025-01-15,South,13,11.0,38872.54,26438.51,12434.03,21,3.32
2025-01-15,East,16,11.0,35547.7,22134.28,13413.42,36,2.5
2025-01-15,West,18,13.0,69945.46,50244.72,19700.74,39,6.47
2025-01-15,Central,19,12.0,45890.61,32880.24,13010.37,48,3.29
2025-01-16,North,16,10.0,45628.57,27363.87,18264.7,32,4.51
2025-01-16,South,11,8.0,44900.73,31171.34,13729.39,28,4.73
2025-01-16,East,13,9.0,51340.03,30573.93,20766.1,33,6.64
2025-01-16,West,17,11.0,63025.08,37330.81,25694.27,43,1.7
2025-01-16,Central,9,6.0,33017.43,21782.91,11234.52,15,5.66
2025-01-17,North,12,10.0,42808.05,28241.35,14566.7,16,3.32
2025-01-17,South,15,12.0,58471.67,35957.6,22514.07,23,2.08
2025-01-17,East,15,10.0,55300.04,30509.91,24790.13,21,2.35
2025-01-17,West,14,12.0,52800.3,36571.42,16228.88,21,5.02
2025-01-17,Central,6,4.0,20580.93,12797.36,7783.57,14,1.92
2025-01-18,North,22,14.0,91593.42,60304.87,31288.55,39,3.31
2025-01-18,South,18,16.0,69343.65,41821.02,27522.63,29,6.29
2025-01-18,East,18,14.0,42327.21,27246.54,15080.67,42,3.41
2025-01-18,West,18,15.0,42739.79,30756.21,11983.58,38,7.81
2025-01-18,Central,16,10.0,60092.94,38005.07,22087.87,39,6.84
2025-01-19,North,12,10.0,49792.22,33041.07,16751.15,29,5.26
2025-01-19,South,12,9.0,38445.3,24833.34,13611.96,15,1.82
2025-01-19,East,16,12.0,49825.23,29016.69,20808.54,36,2.26
2025-01-19,West,15,13.0,45474.99,29659.45,15815.54,23,2.45
2025-01-19,Central,20,14.0,83058.11,55680.4,27377.71,32,6.17
2025-01-20,North,17,12.0,55314.23,34340.68,20973.55,36,6.73
2025-01-20,South,19,13.0,74393.9,44745.41,29648.49,44,8.29
2025-01-20,East,22,18.0,61092.97,41493.27,19599.7,43,1.61
2025-01-20,West,15,10.0,41441.86,27420.68,14021.18,33,5.85
2025-01-20,Central,14,12.0,56410.66,36330.67,20079.99,25,5.66
2025-01-21,North,23,17.0,62687.91,44247.51,18440.4,38,8.48
2025-01-21,South,9,6.0,33985.34,23237.33,10748.01,12,7.39
2025-01-21,East,18,12.0,51858.99,33041.47,18817.52,42,7.95
2025-01-21,West,18,15.0,74489.53,45080.36,29409.17,25,4.85
2025-01-21,Central,15,11.0,55120.62,34769.01,20351.61,30,2.44
2025-01-22,North,11,8.0,45142.52,30762.02,14380.5,23,6.05
2025-01-22,South,12,10.0,39718.53,23621.29,16097.24,19,5.51
2025-01-22,East,14,9.0,57420.89,35599.06,21821.83,30,2.4
2025-01-22,West,9,6.0,21650.62,12381.82,9268.8,16,7.9
2025-01-22,Central,12,8.0,43380.5,29958.29,13422.21,25,5.87
2025-01-23,North,12,8.0,42780.41,25478.8,17301.61,24,2.63
2025-01-23,South,11,8.0,43526.63,29653.98,13872.65,18,8.41
2025-01-23,East,16,11.0,36963.98,20989.82,15974.16,38,7.87
2025-01-23,West,11,8.0,43431.03,30376.23,13054.8,18,8.19
2025-01-23,Central,12,8.0,31336.39,20071.93,11264.46,24,8.11
2025-01-24,North,15,13.0,60755.38,38602.28,22153.1,27,3.85
2025-01-24,South,18,14.0,55430.1,38765.6,16664.5,23,6.35
2025-01-24,East,7,6.0,18089.11,10693.15,7395.96,10,6.8
2025-01-24,West,16,12.0,65130.81,38052.08,27078.73,37,6.84
2025-01-24,Central,12,9.0,49490.32,31207.77,18282.55,21,3.98
2025-01-25,North,14,9.0,50103.24,28967.08,21136.16,26,2.03
2025-01-25,South,15,9.0,37117.93,21967.11,15150.82,31,3.55
2025-01-25,East,17,12.0,50101.98,27741.11,22360.87,29,3.83
2025-01-25,West,23,20.0,63022.74,43580.72,19442.02,43,5.28
2025-01-25,Central,16,13.0,44882.42,28071.31,16811.11,22,5.05
2025-01-26,North,14,10.0,40889.85,26078.78,14811.07,24,2.87
2025-01-26,South,13,11.0,34987.96,24128.24,10859.72,28,1.71
2025-01-26,East,15,10.0,43973.5,26299.66,17673.84,27,1.99
2025-01-26,West,11,9.0,34594.65,20481.69,14112.96,18,2.41
2025-01-26,Central,11,9.0,35696.3,20035.42,15660.88,26,3.73
2025-01-27,North,18,14.0,70035.98,41817.38,28218.6,25,1.57
2025-01-27,South,20,17.0,61816.43,36434.76,25381.67,35,2.75
2025-01-27,East,16,14.0,43542.08,28928.28,14613.8,36,2.37
2025-01-27,West,12,9.0,33003.54,22304.18,10699.36,29,4.01
2025-01-27,Central,22,17.0,80354.37,46861.31,33493.06,37,1.59
2025-01-28,North,14,11.0,57640.39,39625.47,18014.92,26,3.31
2025-01-28,South,13,9.0,42949.11,29545.42,13403.69,16,2.38
2025-01-28,East,14,9.0,42091.5,23945.72,18145.78,31,8.5
2025-01-28,West,11,8.0,30721.2,20996.98,9724.22,22,5.33
2025-01-28,Central,22,16.0,55348.29,34036.94,21311.35,31,7.75
2025-01-29,North,23,10.0,89838.38,60663.21,29175.17,49,8.17
2025-01-29,South,18,13.0,47587.37,32896.76,14690.61,38,6.24
2025-01-29,East,15,10.0,53923.69,31924.51,21999.18,21,5.84
2025-01-29,West,9,7.0,35811.4,22454.51,13356.89,17,2.75
2025-01-29,Central,18,15.0,74390.78,44229.93,30160.85,34,7.39
2025-01-30,North,11,7.0,26690.08,18334.42,8355.66,20,6.09
2025-01-30,South,15,12.0,53645.12,30694.07,22951.05,27,5.68
2025-01-30,East,11,9.0,42177.54,29839.11,12338.43,24,2.05
2025-01-30,West,14,12.0,50333.21,29064.06,21269.15,21,1.87
2025-01-30,Central,19,16.0,42712.48,27471.52,15240.96,31,4.36
2025-01-31,North,12,9.0,34146.94,22213.67,11933.27,30,5.03
2025-01-31,South,17,13.0,47706.93,28785.11,18921.82,26,2.43
2025-01-31,East,13,11.0,34599.8,22176.88,12422.92,20,7.04
2025-01-31,West,15,11.0,52516.68,33126.47,19390.21,26,8.34
2025-01-31,Central,20,15.0,77458.1,44565.15,32892.95,37,3.77
2025-02-01,North,21,15.0,84297.61,55466.72,28830.89,47,2.26
2025-02-01,South,20,13.0,76728.5,51382.77,25345.73,29,4.67
2025-02-01,East,11,7.0,29930.36,17108.82,12821.54,26,6.51
2025-02-01,West,21,16.0,56297.33,31215.4,25081.93,28,1.53
2025-02-01,Central,16,13.0,53112.92,34390.56,18722.36,28,6.44
2025-02-02,North,13,9.0,36659.74,20210.02,16449.72,29,6.99
2025-02-02,South,11,8.0,28279.46,20282.91,7996.55,20,2.03
2025-02-02,East,18,14.0,42746.32,26947.29,15799.03,34,8.28
2025-02-02,West,20,14.0,81620.31,56149.54,25470.77,46,5.04
2025-02-02,Central,15,10.0,57110.36,40328.92,16781.44,32,5.9
2025-02-03,North,20,13.0,51606.42,30165.22,21441.2,28,3.61
2025-02-03,South,13,10.0,48295.17,29036.38,19258.79,30,4.02
2025-02-03,East,15,11.0,45694.93,29643.54,16051.39,28,4.97
2025-02-03,West,15,12.0,54125.81,38100.73,16025.08,25,4.65
2025-02-03,Central,17,12.0,70634.89,44768.87,25866.02,30,7.96
2025-02-04,North,16,12.0,58370.74,41683.9,16686.84,40,7.7
2025-02-04,South,15,12.0,49660.07,33866.4,15793.67,34,4.5
2025-02-04,East,16,12.0,62503.94,42648.72,19855.22,32,6.3
2025-02-04,West,17,15.0,47351.52,33186.26,14165.26,30,7.89
2025-02-04,Central,15,10.0,54986.41,30671.45,24314.96,37,5.12
2025-02-05,North,12,8.0,40276.26,26526.57,13749.69,21,5.35
2025-02-05,South,14,9.0,58610.11,35613.3,22996.81,29,7.83
2025-02-05,East,7,4.0,24866.11,17098.96,7767.15,12,3.17
2025-02-05,West,25,19.0,78781.93,54879.48,23902.45,62,3.17
2025-02-05,Central,15,11.0,56207.22,35948.48,20258.74,23,8.47
2025-02-06,North,18,12.0,39950.34,26500.42,13449.92,45,3.24
2025-02-06,South,13,10.0,41667.98,27558.17,14109.81,29,7.86
2025-02-06,East,15,10.0,59222.32,35414.73,23807.59,19,6.67
2025-02-06,West,17,13.0,41817.13,23301.77,18515.36,26,7.05
2025-02-06,Central,23,19.0,89773.39,64496.32,25277.07,46,7.17
2025-02-07,North,16,13.0,36240.16,23893.38,12346.78,35,4.33
2025-02-07,South,16,11.0,59655.68,37791.89,21863.79,29,7.86
2025-02-07,East,11,8.0,28496.24,20424.72,8071.52,24,6.61
2025-02-07,West,18,12.0,41006.69,24459.13,16547.56,39,6.28
2025-02-07,Central,12,8.0,33878.89,20608.49,13270.4,27,1.58
2025-02-08,North,21,17.0,70837.13,41818.44,29018.69,51,5.01
2025-02-08,South,12,9.0,36390.02,21907.0,14483.02,20,7.25
2025-02-08,East,15,10.0,61438.57,38450.05,22988.52,30,4.98
2025-02-08,West,12,8.0,33390.88,22173.36,11217.52,16,8.34
2025-02-08,Central,13,8.0,37927.47,21881.58,16045.89,22,3.87
2025-02-09,North,19,16.0,69796.59,47117.66,22678.93,47,4.99
2025-02-09,South,9,7.0,23164.37,16005.79,7158.58,13,2.43
2025-02-09,East,21,17.0,53419.7,37524.51,15895.19,40,4.76
2025-02-09,West,17,13.0,71396.95,48790.84,22606.11,37,8.47
2025-02-09,Central,19,13.0,67836.33,43114.59,24721.74,30,6.94
2025-02-10,North,11,8.0,33922.52,19345.23,14577.29,28,6.74
2025-02-10,South,16,13.0,66815.67,46743.6,20072.07,25,2.37
2025-02-10,East,11,7.0,25997.37,18224.98,7772.39,17,7.72
2025-02-10,West,25,22.0,69709.2,47821.73,21887.47,53,4.6
2025-02-10,Central,17,14.0,41230.3,25727.74,15502.56,37,2.58
2025-02-11,North,18,13.0,49127.36,29893.04,19234.32,46,2.79
2025-02-11,South,19,16.0,75259.82,53955.0,21304.82,45,4.4
2025-02-11,East,12,9.0,42075.31,25586.68,16488.63,16,6.9
2025-02-11,West,9,7.0,30427.81,19482.92,10944.89,19,7.02
2025-02-11,Central,13,11.0,47926.58,27610.91,20315.67,32,3.48
2025-02-12,North,18,14.0,50363.9,31391.54,18972.36,46,3.6
2025-02-12,South,18,15.0,48650.19,31983.28,16666.91,40,8.1
2025-02-12,East,9,5.0,25035.19,17246.31,7788.88,13,6.9
2025-02-12,West,13,10.0,54561.15,34273.91,20287.24,33,5.03
2025-02-12,Central,11,8.0,35548.89,24310.21,11238.68,17,7.2
2025-02-13,North,11,8.0,32115.41,20925.93,11189.48,28,3.44
2025-02-13,South,14,11.0,38543.21,25941.43,12601.78,31,6.23
2025-02-13,East,7,5.0,26783.13,14730.94,12052.19,15,2.84
2025-02-13,West,14,11.0,32667.12,18715.89,13951.23,32,5.63
2025-02-13,Central,14,12.0,53520.24,31635.64,21884.6,32,2.07
2025-02-14,North,21,17.0,53422.28,35560.07,17862.21,43,3.36
2025-02-14,South,21,15.0,58678.84,34819.3,23859.54,39,3.12
2025-02-14,East,15,11.0,41128.56,23457.39,17671.17,27,4.33
2025-02-14,West,18,13.0,64548.19,35865.16,28683.03,25,4.73
2025-02-14,Central,16,11.0,52807.01,32450.72,20356.29,40,2.89
2025-02-15,North,6,4.0,25170.06,17720.74,7449.32,7,6.87
2025-02-15,South,13,9.0,40471.72,25177.72,15294.0,27,6.58
2025-02-15,East,16,11.0,35917.31,25138.4,10778.91,29,2.22
2025-02-15,West,12,8.0,32053.12,21220.58,10832.54,27,5.71
2025-02-15,Central,12,9.0,48770.09,27818.83,20951.26,25,6.19
2025-02-16,North,4,2.0,11158.49,6289.37,4869.12,9,3.98
2025-02-16,South,14,12.0,42604.89,29208.94,13395.95,25,4.28
2025-02-16,East,13,9.0,39776.27,22420.84,17355.43,32,2.02
2025-02-16,West,12,9.0,32041.67,22822.79,9218.88,29,7.5
2025-02-16,Central,17,14.0,54709.4,36503.24,18206.16,35,4.64
2025-02-17,North,17,13.0,56152.15,35840.85,20311.3,33,6.75
2025-02-17,South,18,12.0,52227.1,28871.28,23355.82,29,6.86
2025-02-17,East,19,16.0,74850.7,45948.5,28902.2,36,6.49
2025-02-17,West,13,11.0,35205.34,23534.95,11670.39,27,6.88
2025-02-17,Central,20,13.0,63755.65,35633.25,28122.4,27,6.62
2025-02-18,North,19,15.0,76820.65,53215.16,23605.49,48,7.68
2025-02-18,South,15,13.0,39002.69,25988.0,13014.69,28,5.51
2025-02-18,East,13,10.0,31594.05,20503.97,11090.08,16,8.08
2025-02-18,West,10,8.0,35786.2,23086.17,12700.03,20,6.58
2025-02-18,Central,11,9.0,29414.51,18260.78,11153.73,26,4.31
2025-02-19,North,16,11.0,50424.86,35799.37,14625.49,37,1.8
2025-02-19,South,13,11.0,48776.02,31737.17,17038.85,30,5.82
2025-02-19,East,13,9.0,44592.52,29503.03,15089.49,23,2.74
2025-02-19,West,12,9.0,46283.49,30499.41,15784.08,25,1.68
2025-02-19,Central,12,8.0,36321.97,25491.35,10830.62,16,6.94
2025-02-20,North,20,16.0,59062.66,36807.31,22255.35,47,2.83
2025-02-20,South,21,18.0,77208.2,43605.27,33602.93,41,4.03
2025-02-20,East,14,10.0,35363.23,19658.14,15705.09,27,6.17
2025-02-20,West,18,14.0,43778.24,27289.75,16488.49,40,3.77
2025-02-20,Central,22,16.0,85876.16,56962.74,28913.42,55,7.81
2025-02-21,North,22,17.0,57214.79,36706.32,20508.47,50,4.97
2025-02-21,South,15,10.0,54290.51,33205.82,21084.69,31,8.18
2025-02-21,East,13,9.0,40702.74,27147.06,13555.68,24,6.41
2025-02-21,West,16,11.0,41988.09,28934.59,13053.5,23,1.67
2025-02-21,Central,17,15.0,63000.23,38730.39,24269.84,41,3.94
2025-02-22,North,15,12.0,43021.7,30893.79,12127.91,34,7.88
2025-02-22,South,15,11.0,42546.31,25783.03,16763.28,26,1.94
2025-02-22,East,13,8.0,52051.3,28996.9,23054.4,26,6.4
2025-02-22,West,12,9.0,48381.65,31688.75,16692.9,30,3.87
2025-02-22,Central,11,7.0,42281.19,29414.23,12866.96,20,5.59
2025-02-23,North,14,11.0,52082.15,31256.7,20825.45,31,3.68
2025-02-23,South,12,8.0,42670.39,28833.55,13836.84,26,6.5
2025-02-23,East,13,9.0,39816.27,26901.69,12914.58,31,3.29
2025-02-23,West,20,16.0,73577.63,47489.73,26087.9,51,1.87
2025-02-23,Central,10,6.0,32392.74,22236.88,10155.86,23,4.53
2025-02-24,North,23,20.0,95891.51,61812.5,34079.01,48,3.92
2025-02-24,South,19,16.0,53534.7,33797.37,19737.33,42,2.72
2025-02-24,East,20,13.0,47314.74,27206.89,20107.85,43,3.3
2025-02-24,West,9,6.0,35405.39,23257.23,12148.16,20,2.03
2025-02-24,Central,21,13.0,47098.03,28805.21,18292.82,31,6.67
2025-02-25,North,14,12.0,48825.2,32723.08,16102.12,21,7.5
2025-02-25,South,18,12.0,49023.72,30778.72,18245.0,40,6.43
2025-02-25,East,11,8.0,44024.46,27743.62,16280.84,28,2.95
2025-02-25,West,17,14.0,48260.95,29077.17,19183.78,24,2.6
2025-02-25,Central,14,10.0,43539.76,25949.53,17590.23,26,6.59
2025-02-26,North,21,17.0,75958.66,50834.27,25124.39,43,1.6
2025-02-26,South,17,11.0,58191.66,34788.18,23403.48,26,3.01
2025-02-26,East,11,9.0,25711.22,15318.37,10392.85,21,3.91
2025-02-26,West,18,13.0,40661.93,26147.91,14514.02,36,2.71
2025-02-26,Central,15,10.0,41964.46,27982.66,13981.8,27,2.01
2025-02-27,North,18,16.0,68896.46,44160.07,24736.39,29,6.69
2025-02-27,South,15,12.0,54945.88,39145.9,15799.98,25,5.07
2025-02-27,East,12,7.0,36062.09,21232.73,14829.36,30,2.05
2025-02-27,West,13,10.0,41447.31,24169.61,17277.7,20,2.8
2025-02-27,Central,12,9.0,41803.95,24481.93,17322.02,22,2.88
2025-02-28,North,12,10.0,35487.09,22617.09,12870.0,16,4.26
2025-02-28,South,14,11.0,43172.62,27903.66,15268.96,30,2.04
2025-02-28,East,15,11.0,46651.36,30864.66,15786.7,28,2.05
2025-02-28,West,17,11.0,37593.28,21998.3,15594.98,34,1.61
2025-02-28,Central,15,12.0,53620.05,32214.22,21405.83,30,6.61
2025-03-01,North,15,11.0,51586.78,34019.16,17567.62,27,5.57
2025-03-01,South,20,15.0,66834.66,43190.5,23644.16,27,6.49
2025-03-01,East,18,15.0,72056.63,51683.83,20372.8,45,4.91
2025-03-01,West,17,14.0,42578.46,26836.86,15741.6,33,7.1
2025-03-01,Central,19,13.0,46845.05,31385.8,15459.25,47,7.58
2025-03-02,North,15,11.0,58413.12,40780.11,17633.01,38,5.15
2025-03-02,South,10,8.0,33733.0,23608.0,10125.0,16,7.52
2025-03-02,East,20,17.0,82418.83,51695.6,30723.23,30,7.05
2025-03-02,West,13,8.0,54445.05,32754.2,21690.85,31,4.52
2025-03-02,Central,15,10.0,53735.58,36045.93,17689.65,30,4.08
2025-03-03,North,7,4.0,28133.46,16909.39,11224.07,17,4.18
2025-03-03,South,23,15.0,72241.37,44460.48,27780.89,35,3.13
2025-03-03,East,15,11.0,57011.53,34231.71,22779.82,21,3.4
2025-03-03,West,19,14.0,57084.37,37000.4,20083.97,46,4.26
2025-03-03,Central,18,12.0,55227.5,35344.85,19882.65,37,5.52
2025-03-04,North,15,12.0,36383.96,24337.28,12046.68,32,4.44
2025-03-04,South,11,9.0,43367.07,26740.92,16626.15,23,5.19
2025-03-04,East,17,15.0,41663.57,28062.07,13601.5,33,1.88
2025-03-04,West,8,5.0,28122.63,16207.89,11914.74,17,2.52
2025-03-04,Central,15,10.0,36758.85,22984.13,13774.72,26,7.89
2025-03-05,North,18,15.0,44441.17,26662.46,17778.71,40,5.82
2025-03-05,South,19,15.0,57164.38,35603.42,21560.96,33,2.97
2025-03-05,East,17,11.0,52441.11,33181.11,19260.0,32,7.1
2025-03-05,West,18,15.0,56102.96,32510.9,23592.06,38,7.87
2025-03-05,Central,17,13.0,41981.13,25927.96,16053.17,42,7.31
2025-03-06,North,16,14.0,36264.75,22110.69,14154.06,36,5.17
2025-03-06,South,21,13.0,86420.22,57810.26,28609.96,46,2.08
2025-03-06,East,17,12.0,44611.14,29299.43,15311.71,23,7.26
2025-03-06,West,13,11.0,44443.38,24868.18,19575.2,24,2.94
2025-03-06,Central,15,11.0,33091.19,19888.56,13202.63,33,3.69
2025-03-07,North,14,10.0,39005.13,26010.6,12994.53,23,3.59
2025-03-07,South,17,13.0,51234.65,33686.46,17548.19,22,3.87
2025-03-07,East,12,9.0,33010.47,19936.35,13074.12,24,7.18
2025-03-07,West,14,12.0,47830.81,32228.77,15602.04,29,4.94
2025-03-07,Central,18,12.0,56148.38,36229.82,19918.56,40,6.05
2025-03-08,North,24,18.0,74006.98,51961.33,22045.65,60,2.9
2025-03-08,South,18,11.0,52062.66,34987.4,17075.26,28,3.33
2025-03-08,East,10,6.0,29058.95,17060.7,11998.25,15,7.28
2025-03-08,West,7,5.0,21591.4,13276.88,8314.52,15,3.67
2025-03-08,Central,11,8.0,37117.23,22240.38,14876.85,19,5.64
2025-03-09,North,24,21.0,58221.99,37288.82,20933.17,46,7.1
2025-03-09,South,15,12.0,57382.22,38254.01,19128.21,29,8.2
2025-03-09,East,16,12.0,63430.95,42004.35,21426.6,34,3.94
2025-03-09,West,15,12.0,58650.62,38894.2,19756.42,25,8.47
2025-03-09,Central,14,12.0,57697.79,38159.07,19538.72,29,3.23
2025-03-10,North,14,9.0,44504.93,29841.74,14663.19,25,7.38
2025-03-10,South,23,15.0,58538.35,32429.17,26109.18,54,4.69
2025-03-10,East,13,11.0,49229.59,30107.21,19122.38,24,3.33
2025-03-10,West,22,19.0,92221.51,60336.19,31885.32,33,4.22
2025-03-10,Central,21,15.0,72139.96,44454.93,27685.03,41,6.51
2025-03-11,North,16,11.0,61039.76,43718.15,17321.61,38,7.55
2025-03-11,South,12,7.0,48922.01,33060.3,15861.71,25,6.95
2025-03-11,East,17,13.0,41485.75,28470.67,13015.08,43,4.4
2025-03-11,West,20,14.0,77640.59,54040.94,23599.65,34,7.87
2025-03-11,Central,19,15.0,58381.11,41161.88,17219.23,34,4.98
2025-03-12,North,20,13.0,56386.15,33430.21,22955.94,50,6.81
2025-03-12,South,15,10.0,37183.11,24937.37,12245.74,26,8.2
2025-03-12,East,16,13.0,38524.2,23352.05,15172.15,37,6.56
2025-03-12,West,17,11.0,57306.34,32012.99,25293.35,33,1.51
2025-03-12,Central,12,10.0,34692.31,24143.07,10549.24,18,3.12
2025-03-13,North,20,16.0,73652.66,41579.23,32073.43,32,6.75
2025-03-13,South,16,14.0,48071.33,30642.59,17428.74,30,2.56
2025-03-13,East,16,10.0,63346.1,43822.3,19523.8,33,6.38
2025-03-13,West,12,9.0,37504.53,23701.11,13803.42,24,6.47
2025-03-13,Central,15,10.0,47578.07,31528.98,16049.09,30,4.78
2025-03-14,North,13,9.0,41864.98,23095.17,18769.81,23,5.94
2025-03-14,South,8,6.0,22351.8,12563.35,9788.45,19,5.73
2025-03-14,East,21,18.0,64703.27,37235.24,27468.03,46,3.98
2025-03-14,West,19,16.0,79798.37,49131.17,30667.2,40,6.65
2025-03-14,Central,22,17.0,61101.39,42613.94,18487.45,29,6.22
2025-03-15,North,16,11.0,48368.81,27129.8,21239.01,36,3.14
2025-03-15,South,17,12.0,44927.55,26853.07,18074.48,41,8.09
2025-03-15,East,14,10.0,47625.15,29574.64,18050.51,26,6.08
2025-03-15,West,13,11.0,39552.48,24051.17,15501.31,22,2.08
2025-03-15,Central,11,7.0,36571.16,23437.9,13133.26,16,4.27
2025-03-16,North,15,12.0,48082.33,32441.3,15641.03,31,5.4
2025-03-16,South,12,9.0,30202.95,20272.08,9930.87,24,7.54
2025-03-16,East,14,10.0,55759.12,34127.22,21631.9,23,4.44
2025-03-16,West,16,13.0,58245.13,37117.16,21127.97,38,1.91
2025-03-16,Central,17,14.0,47875.93,32537.0,15338.93,41,4.99
2025-03-17,North,9,7.0,24197.57,14839.67,9357.9,19,2.64
2025-03-17,South,11,7.0,40808.62,24540.46,16268.16,20,3.23
2025-03-17,East,14,9.0,40149.11,23275.49,16873.62,18,7.81
2025-03-17,West,18,13.0,59791.13,35467.83,24323.3,30,7.27
2025-03-17,Central,19,13.0,70765.42,40051.01,30714.41,27,3.17
2025-03-18,North,13,9.0,31193.52,17506.33,13687.19,19,3.91
2025-03-18,South,11,7.0,38445.81,27302.6,11143.21,24,6.11
2025-03-18,East,17,11.0,54695.78,38701.42,15994.36,32,6.07
2025-03-18,West,22,18.0,91387.84,60462.39,30925.45,52,6.64
