Product_ID,Product_Name,Category,Brand,Unit_Cost,Unit_Price,Supplier,Stock_Opening,Reorder_Level,Current_Stock
P0022,Home Product 022,Home,Prime,3883.74,5577.75,Supplier_11,317,64.0,281
P0023,Fashion Product 023,Fashion,Urban,2906.23,3632.79,Supplier_12,333,22.0,318
P0024,Beauty Product 024,Beauty,Apex,2324.41,2905.51,Supplier_01,196,52.0,164
P0025,Sports Product 025,Sports,Nova,4303.66,5379.58,Supplier_02,425,24.0,381
P0026,Electronics Product 026,Electronics,Vertex,1586.57,2848.75,Unknown,262,72.0,242
P0027,Home Product 027,Home,Prime,2895.9,6771.19,Supplier_04,498,73.0,472
P0028,Fashion Product 028,Fashion,Urban,2180.34,7012.16,Supplier_05,214,33.0,186
P0029,Beauty Product 029,Beauty,Apex,357.88,1220.38,Supplier_06,404,77.0,367
P0030,Sports Product 030,Sports,Nova,2443.92,3054.9,Supplier_07,458,60.0,430
P0031,Electronics Product 031,Electronics,Vertex,973.48,6070.56,Supplier_08,288,55.0,236
P0032,Home Product 032,Home,Prime,2059.85,2912.1,Supplier_09,367,70.0,341
P0033,Fashion Product 033,Fashion,Urban,1968.61,2460.76,Supplier_10,223,29.0,190
P0034,Beauty Product 034,Beauty,Apex,4819.01,7768.65,Supplier_11,287,75.0,258
P0035,Sports Product 035,Sports,Nova,1512.88,8253.41,Supplier_12,190,82.0,174
P0036,Electronics Product 036,Electronics,Vertex,3655.23,4569.04,Supplier_01,389,41.0,340
P0037,Home Product 037,Home,Prime,707.86,7720.82,Supplier_02,133,56.0,113
P0038,Fashion Product 038,Fashion,Urban,1211.23,2947.65,Supplier_03,419,66.0,395
P0039,Beauty Product 039,Beauty,Apex,1089.67,7352.91,Supplier_04,88,80.0,32
P0040,Sports Product 040,Sports,Nova,3667.45,4584.31,Supplier_05,209,70.0,143
P0041,Electronics Product 041,Electronics,Vertex,3024.47,5698.77,Supplier_06,344,26.0,296
P0042,Home Product 042,Home,Prime,2225.09,2781.36,Supplier_07,155,59.0,91
P0043,Fashion Product 043,Fashion,Urban,1816.84,2271.05,Supplier_08,364,28.0,304
P0044,Beauty Product 044,Beauty,Apex,3041.31,3801.64,Supplier_09,205,94.0,169
P0045,Sports Product 045,Sports,Nova,3010.04,3762.55,Supplier_10,337,67.0,282
P0046,Electronics Product 046,Electronics,Vertex,358.32,8168.47,Supplier_11,255,58.0,229
P0047,Home Product 047,Home,Prime,3967.99,4959.99,Supplier_12,195,58.0,161
P0048,Fashion Product 048,Fashion,Urban,2580.86,8002.61,Supplier_01,147,65.0,108
P0049,Beauty Product 049,Beauty,Apex,2499.07,3123.84,Supplier_02,480,46.0,413
P0050,Sports Product 050,Sports,Nova,2723.19,4011.29,Supplier_03,199,21.0,139
P0051,Electronics Product 051,Electronics,Vertex,4174.89,7669.29,Supplier_04,307,31.0,271
P0052,Home Product 052,Home,Prime,2881.67,3602.09,Supplier_05,359,73.0,312
P0053,Fashion Product 053,Fashion,Urban,1585.86,5775.38,Supplier_06,386,78.0,368
P0054,Beauty Product 054,Beauty,Apex,3901.08,4876.35,Supplier_07,338,93.0,281
P0055,Sports Product 055,Sports,Nova,1343.52,1679.4,Supplier_08,139,64.0,99
P0056,Electronics Product 056,Electronics,Vertex,2011.88,7138.32,Supplier_09,273,84.0,234
P0057,Home Product 057,Home,Prime,1756.41,8123.2,Supplier_10,346,43.0,292
P0058,Fashion Product 058,Fashion,Urban,2696.52,3370.65,Supplier_11,496,94.0,450
P0059,Beauty Product 059,Beauty,Apex,1031.89,1289.86,Supplier_12,205,54.0,196
P0060,Sports Product 060,Sports,Nova,4963.78,7633.42,Supplier_01,118,79.0,95
P0061,Electronics Product 061,Electronics,Vertex,4481.26,7647.57,Supplier_02,128,61.0,112
P0062,Home Product 062,Home,Prime,1750.66,6676.1,Supplier_03,220,72.0,168
P0063,Fashion Product 063,Fashion,Urban,2024.87,2531.09,Supplier_04,389,79.0,382
P0064,Beauty Product 064,Beauty,Apex,1496.69,7994.51,Supplier_05,478,39.0,460
P0065,Sports Product 065,Sports,Nova,833.1,7148.9,Supplier_06,454,32.0,411
P0066,Electronics Product 066,Electronics,Vertex,1101.52,5295.06,Supplier_07,382,89.0,332
P0067,Home Product 067,Home,Prime,1183.06,2982.59,Supplier_08,499,82.0,462
P0068,Fashion Product 068,Fashion,Urban,4866.18,6082.72,Supplier_09,262,31.0,202
P0069,Beauty Product 069,Beauty,Apex,316.2,2337.25,Supplier_10,197,30.0,133
P0070,Sports Product 070,Sports,Nova,3468.88,4336.1,Supplier_11,204,60.0,191
P0071,Electronics Product 071,Electronics,Vertex,3547.75,5148.93,Supplier_12,255,35.0,189
P0072,Home Product 072,Home,Prime,4069.59,6223.26,Supplier_01,115,79.0,71
P0073,Fashion Product 073,Fashion,Urban,872.52,1490.03,Supplier_02,318,94.0,272
P0074,Beauty Product 074,Beauty,Apex,2138.5,2907.59,Supplier_03,135,59.0,124
P0075,Sports Product 075,Sports,Nova,3398.61,8144.99,Supplier_04,298,42.0,253
P0076,Electronics Product 076,Electronics,Vertex,4642.84,5803.55,Supplier_05,330,64.0,278
P0077,Home Product 077,Home,Prime,3261.38,4076.73,Supplier_06,383,31.0,341
P0078,Fashion Product 078,Fashion,Urban,2240.79,8229.86,Supplier_07,149,67.0,139
P0079,Beauty Product 079,Beauty,Apex,4681.86,6934.89,Supplier_08,261,57.0,222
P0080,Sports Product 080,Sports,Nova,3977.63,4972.04,Supplier_09,358,28.0,293
P0081,Electronics Product 081,Electronics,Vertex,4189.79,6874.54,Supplier_10,274,38.0,222
P0082,Home Product 082,Home,Prime,2771.16,5348.13,Supplier_11,471,89.0,458
P0083,Fashion Product 083,Fashion,Urban,3114.76,3893.45,Supplier_12,129,49.0,62
P0084,Beauty Product 084,Beauty,Apex,2272.94,5715.45,Supplier_01,484,89.0,417
P0085,Sports Product 085,Sports,Nova,2406.01,3007.51,Supplier_02,192,38.0,176
P0086,Electronics Product 086,Electronics,Vertex,3793.57,7032.55,Supplier_03,482,28.0,425
P0087,Home Product 087,Home,Prime,566.15,5255.47,Supplier_04,230,31.0,199
P0088,Fashion Product 088,Fashion,Urban,4167.15,5208.94,Supplier_05,467,31.0,424
P0089,Beauty Product 089,Beauty,Apex,4624.61,5780.76,Supplier_06,145,42.0,112
P0090,Sports Product 090,Sports,Nova,979.66,1423.92,Supplier_07,306,21.0,251
P0091,Electronics Product 091,Electronics,Vertex,513.13,1897.13,Supplier_08,429,24.0,360
P0092,Home Product 092,Home,Prime,3057.93,5945.72,Supplier_09,417,51.0,361
P0093,Fashion Product 093,Fashion,Urban,1760.46,4536.21,Supplier_10,389,90.0,324
P0094,Beauty Product 094,Beauty,Apex,4292.88,5366.1,Supplier_11,287,34.0,221
P0095,Sports Product 095,Sports,Nova,1374.54,2495.1,Supplier_12,349,58.0,339
P0096,Electronics Product 096,Electronics,Vertex,2227.25,2784.06,Supplier_01,82,49.0,61
P0097,Home Product 097,Home,Prime,2737.83,3422.29,Supplier_02,119,86.0,68
P0098,Fashion Product 098,Fashion,Urban,496.82,7898.73,Supplier_03,369,27.0,326
P0099,Beauty Product 099,Beauty,Apex,4256.98,7721.23,Supplier_04,180,98.0,172
P0100,Sports Product 100,Sports,Nova,4059.62,6735.82,Supplier_05,343,71.0,332
