Financial_ID,Date,Revenue,COGS,Operating_Expenses,Marketing_Expenses,Other_Expenses,Total_Expenses,Profit,Tax,Net_Profit
FIN0100,2025-04-10,626792,351188,111310,39239,18771,169320,106284,21256,85028
FIN0101,2025-04-11,609319,357616,119872,38994,18626,177492,74211,14842,59369
FIN0102,2025-04-12,756220,431779,137474,30907,17170,185551,138890,27778,111112
FIN0103,2025-04-13,725864,432766,146642,49058,23031,218731,74367,14873,59494
FIN0104,2025-04-14,644019,361518,115730,36665,11836,164231,118270,23654,94616
FIN0105,2025-04-15,612211,346991,112086,25411,14269,151766,113454,22690,90764
FIN0106,2025-04-16,546807,318643,96716,36302,11972,144990,83174,16634,66540
FIN0107,2025-04-17,610086,349343,100112,24758,15588,140458,120285,24057,96228
FIN0108,2025-04-18,588501,336158,96179,40440,10924,147543,104800,20960,83840
FIN0109,2025-04-19,590824,358914,100421,23994,11895,136310,95600,19120,76480
FIN0110,2025-04-20,625261,364951,103617,42788,15325,161730,98580,19716,78864
FIN0111,2025-04-21,560247,335220,94339,32616,15950,142905,82122,16424,65698
FIN0112,2025-04-22,517527,309941,87041,25530,13508,126079,81507,16301,65206
FIN0113,2025-04-23,577043,339757,118525,29578,17992,166095,71191,14238,56953
FIN0114,2025-04-24,542788,306023,105588,31925,10544,148057,88708,17741,70967
FIN0115,2025-04-25,573916,345792,109055,25040,18235,152330,75794,15158,60636
FIN0116,2025-04-26,594457,343215,107845,30386,14911,153142,98100,19620,78480
FIN0117,2025-04-27,703042,394148,127252,38460,16921,182633,126261,25252,101009
FIN0118,2025-04-28,592186,350443,119287,36253,14269,169809,71934,14386,57548
FIN0119,2025-04-29,640287,389469,111092,41135,16349,168576,82242,16448,65794
FIN0120,2025-04-30,628756,366717,126560,36325,14154,177039,85000,17000,68000
FIN0121,2025-05-01,484355,291357,79595,32184,10372,122151,70847,14169,56678
FIN0122,2025-05-02,541820,318856,104793,27140,13502,145435,77529,15505,62024
FIN0123,2025-05-03,606240,345006,103428,38759,13800,155987,105247,21049,84198
FIN0124,2025-05-04,691533,411503,120197,27871,21626,169694,110336,22067,88269
FIN0125,2025-05-05,442442,253106,79781,25066,9452,114299,75037,15007,60030
FIN0126,2025-05-06,544804,322684,100538,34751,10516,145805,76315,15263,61052
FIN0127,2025-05-07,478090,277397,82310,28646,11075,122031,78662,15732,62930
FIN0128,2025-05-08,565089,331450,102436,35249,12788,150473,83166,16633,66533
FIN0129,2025-05-09,538946,309110,93006,23508,11154,127668,102168,20433,81735
FIN0130,2025-05-10,541608,323417,112407,32878,11201,156486,61705,12341,49364
FIN0131,2025-05-11,656314,376609,124357,41220,17297,182874,96831,19366,77465
FIN0132,2025-05-12,446352,268539,78027,22686,9923,110636,67177,13435,53742
FIN0133,2025-05-13,560020,317155,90877,23316,12370,126563,116302,23260,93042
FIN0134,2025-05-14,453103,268188,89551,19518,8233,117302,67613,13522,54091
FIN0135,2025-05-15,494537,288547,90017,22516,9257,121790,84200,16840,67360
FIN0136,2025-05-16,545233,308440,89018,29852,14218,133088,103705,20741,82964
FIN0137,2025-05-17,520863,295634,104462,35665,9996,150123,75106,15021,60085
FIN0138,2025-05-18,582073,329408,115379,33870,16921,166170,86495,17299,69196
FIN0139,2025-05-19,479162,286914,85779,32226,10619,128624,63624,12724,50900
FIN0140,2025-05-20,574278,350023,100653,33670,15238,149561,74694,14938,59756
FIN0141,2025-05-21,446013,270899,75995,20664,12152,108811,66303,13260,53043
FIN0142,2025-05-22,461171,263786,86515,20612,10938,118065,79320,15864,63456
FIN0143,2025-05-23,575664,335897,93045,28002,12640,133687,106080,21216,84864
FIN0144,2025-05-24,646825,364524,111041,31006,18808,160855,121446,24289,97157
FIN0145,2025-05-25,689530,408932,142514,36375,17668,196557,84041,16808,67233
FIN0146,2025-05-26,459056,277921,92422,19345,9329,121096,60039,12007,48032
FIN0147,2025-05-27,500638,295252,100734,33861,12089,146684,58702,11740,46962
FIN0148,2025-05-28,542866,322697,105851,37067,13575,156493,63676,12735,50941
FIN0149,2025-05-29,549445,319715,104340,36638,15540,156518,73212,14642,58570
FIN0150,2025-05-30,578259,331063,95161,39817,17176,152154,95042,19008,76034
FIN0151,2025-05-31,684940,403673,110300,43112,20205,173617,107650,21530,86120
FIN0152,2025-06-01,685270,385129,135555,37083,18585,191223,108918,21783,87135
FIN0153,2025-06-02,492917,280506,93292,29103,12265,134660,77751,15550,62201
FIN0154,2025-06-03,443918,259026,80090,22032,8640,110762,74130,14826,59304
FIN0155,2025-06-04,462159,266430,89974,22482,14434,126890,68839,13767,55072
FIN0156,2025-06-05,564204,316989,92756,26840,11071,130667,116548,23309,93239
FIN0157,2025-06-06,525952,317278,105845,21056,15868,142769,65905,13181,52724
FIN0158,2025-06-07,649324,377038,109981,33020,18564,161565,110721,22144,88577
FIN0159,2025-06-08,643053,384545,109433,36317,19926,165676,92832,18566,74266
FIN0160,2025-06-09,534849,323071,98538,21857,14344,134739,77039,15407,61632
FIN0161,2025-06-10,482730,287460,84737,19507,11446,115690,79580,15916,63664
FIN0162,2025-06-11,478903,291945,98484,25785,9407,133676,53282,10656,42626
FIN0163,2025-06-12,460362,269274,90152,25442,10048,125642,65446,13089,52357
FIN0164,2025-06-13,546484,332815,94097,30897,12771,137765,75904,15180,60724
FIN0165,2025-06-14,692547,405425,141256,45653,15144,202053,85069,17013,68056
FIN0166,2025-06-15,634528,366118,126515,30466,11444,168425,99985,19997,79988
FIN0167,2025-06-16,498264,299892,94169,29795,15004,138968,59404,11880,47524
FIN0168,2025-06-17,537059,315215,95197,30374,13753,139324,82520,16504,66016
FIN0169,2025-06-18,539365,327201,109750,37444,11511,158705,53459,10691,42768
FIN0170,2025-06-19,520393,297497,103442,21497,14792,139731,83165,16633,66532
FIN0171,2025-06-20,519937,301201,100443,33599,16498,150540,68196,13639,54557
FIN0172,2025-06-21,659816,401327,109735,45501,14943,170179,88310,17662,70648
FIN0173,2025-06-22,535570,323328,97481,29873,13066,140420,71822,14364,57458
FIN0174,2025-06-23,457789,265746,88233,20431,11249,119913,72130,14426,57704
FIN0175,2025-06-24,489474,282391,95268,29121,14647,139036,68047,13609,54438
FIN0176,2025-06-25,559885,324173,98446,34467,16030,148943,86769,17353,69416
FIN0177,2025-06-26,561824,315629,91813,33111,17356,142280,103915,20783,83132
FIN0178,2025-06-27,479634,286503,87148,20601,12888,120637,72494,14498,57996
FIN0179,2025-06-28,535616,311827,104284,35941,9985,150210,73579,14715,58864
FIN0180,2025-06-29,521653,299777,93241,23144,13268,129653,92223,18444,73779
FIN0181,2025-06-30,568354,337653,96053,25719,15080,136852,93849,18769,75080
FIN0182,2025-07-01,520281,307478,89509,35059,10407,134975,77828,15565,62263
FIN0183,2025-07-02,540887,320148,98970,32456,16542,147968,72771,14554,58217
FIN0184,2025-07-03,541963,327920,105076,24247,13106,142429,71614,14322,57292
FIN0185,2025-07-04,510587,311142,89331,35159,14125,138615,60830,12166,48664
FIN0186,2025-07-05,647707,390091,110084,33383,16040,159507,98109,19621,78488
FIN0187,2025-07-06,578618,335059,102963,28280,16079,147322,96237,19247,76990
FIN0188,2025-07-07,425751,259238,82132,20535,11036,113703,52810,10562,42248
FIN0189,2025-07-08,432856,262107,85384,28129,13263,126776,43973,8794,35179
FIN0190,2025-07-09,480324,283560,85313,28386,12821,126520,70244,14048,56196
FIN0191,2025-07-10,455855,269598,93527,27073,10176,130776,55481,11096,44385
FIN0192,2025-07-11,535559,300806,95459,23533,16460,135452,99301,19860,79441
FIN0193,2025-07-12,606776,362472,102412,26676,15504,144592,99712,19942,79770
FIN0194,2025-07-13,619088,363121,127330,40187,13370,180887,75080,15016,60064
FIN0195,2025-07-14,546313,332360,95472,36117,15984,147573,66380,13276,53104
FIN0196,2025-07-15,542770,330082,90663,37448,16305,144416,68272,13654,54618
FIN0197,2025-07-16,524179,318891,104956,26719,15237,146912,58376,11675,46701
FIN0198,2025-07-17,423648,242844,70401,21630,12068,104099,76705,15341,61364
FIN0199,2025-07-18,488724,287969,98292,33335,9538,141165,59590,11918,47672
FIN0200,2025-07-19,577554,337045,110299,39444,13048,162791,77718,15543,62175
FIN0201,2025-07-20,695914,397414,113545,45036,21386,179967,118533,23706,94827
FIN0202,2025-07-21,499217,295767,82787,20647,9245,112679,90771,18154,72617
FIN0203,2025-07-22,549138,310705,94308,30821,12872,138001,100432,20086,80346
FIN0204,2025-07-23,517258,307005,101981,35369,12345,149695,60558,12111,48447
FIN0205,2025-07-24,460507,278270,88760,29937,12258,130955,51282,10256,41026
FIN0206,2025-07-25,493332,277072,88072,26295,15445,129812,86448,17289,69159
FIN0207,2025-07-26,618090,349200,120085,34819,19587,174491,94399,18879,75520
FIN0208,2025-07-27,616828,347291,107201,42589,19298,169088,100449,20089,80360
FIN0209,2025-07-28,539201,304424,91990,31912,17036,140938,93839,18767,75072
FIN0210,2025-07-29,433258,259668,74597,18967,11223,104787,68803,13760,55043
FIN0211,2025-07-30,437985,263443,82214,25224,12869,120307,54235,10847,43388
FIN0212,2025-07-31,481079,277307,80521,32239,8678,121438,82334,16466,65868
FIN0213,2025-08-01,457929,279051,85637,29287,8947,123871,55007,11001,44006
FIN0214,2025-08-02,512109,290155,91110,32597,13439,137146,84808,16961,67847
FIN0215,2025-08-03,508963,289453,82767,31683,12909,127359,92151,18430,73721
FIN0216,2025-08-04,436661,254928,86852,24189,8526,119567,62166,12433,49733
FIN0217,2025-08-05,552078,315279,105311,34127,16961,156399,80400,16080,64320
FIN0218,2025-08-06,556695,320145,106978,22788,17803,147569,88981,17796,71185
FIN0219,2025-08-07,525281,305353,86880,32237,12716,131833,88095,17619,70476
FIN0220,2025-08-08,441178,254165,73860,19317,11797,104974,82039,16407,65632
FIN0221,2025-08-09,688138,404224,121290,48058,17497,186845,97069,19413,77656
FIN0222,2025-08-10,646725,378513,117387,41256,12676,171319,96893,19378,77515
FIN0223,2025-08-11,564529,336482,96393,30228,11967,138588,89459,17891,71568
FIN0224,2025-08-12,508848,306006,91560,31491,11385,134436,68406,13681,54725
FIN0225,2025-08-13,501926,297770,89701,22375,15520,127596,76560,15312,61248
FIN0226,2025-08-14,437598,247050,71883,23173,12438,107494,83054,16610,66444
FIN0227,2025-08-15,517687,310916,97231,29815,13388,140434,66337,13267,53070
FIN0228,2025-08-16,607696,360667,109713,40234,18945,168892,78137,15627,62510
FIN0229,2025-08-17,637044,384395,124894,43989,16821,185704,66945,13389,53556
FIN0230,2025-08-18,512181,289474,94943,22864,12676,130483,92224,18444,73780
FIN0231,2025-08-19,448368,258935,84209,19480,9819,113508,75925,15185,60740
FIN0232,2025-08-20,479286,287744,96939,33184,14118,144241,47301,9460,37841
FIN0233,2025-08-21,565945,317672,116841,36720,12306,165867,82406,16481,65925
FIN0234,2025-08-22,467294,268069,92580,31610,10707,134897,64328,12865,51463
FIN0235,2025-08-23,561064,338598,105657,29188,11213,146058,76408,15281,61127
FIN0236,2025-08-24,513643,289996,95806,26342,12507,134655,88992,17798,71194
FIN0237,2025-08-25,461263,266841,90444,29200,11968,131612,62810,12562,50248
FIN0238,2025-08-26,442270,267204,74203,27700,8268,110171,64895,12979,51916
FIN0239,2025-08-27,441386,253181,85230,24086,10676,119992,68213,13642,54571
FIN0240,2025-08-28,491609,280599,91251,24755,9612,125618,85392,17078,68314
FIN0241,2025-08-29,575486,336274,111274,23803,13543,148620,90592,18118,72474
FIN0242,2025-08-30,692530,389713,117883,47341,19905,185129,117688,23537,94151
FIN0243,2025-08-31,584378,335709,97006,32094,14042,143142,105527,21105,84422
FIN0244,2025-09-01,453865,262792,88586,24966,13464,127016,64057,12811,51246
FIN0245,2025-09-02,512842,289039,104152,21164,9365,134681,89122,17824,71298
FIN0246,2025-09-03,440411,265614,83144,25192,12301,120637,54160,10832,43328
FIN0247,2025-09-04,529495,304182,95442,36527,10804,142773,82540,16508,66032
FIN0248,2025-09-05,540611,325232,111359,23053,16122,150534,64845,12969,51876
FIN0249,2025-09-06,580539,337748,104510,24591,17524,146625,96166,19233,76933
FIN0250,2025-09-07,610801,348815,121522,25831,16409,163762,98224,19644,78580
FIN0251,2025-09-08,559094,327348,114779,28223,15757,158759,72987,14597,58390
FIN0252,2025-09-09,458716,262299,76753,21063,12125,109941,86476,17295,69181
FIN0253,2025-09-10,439753,250156,87353,24108,12560,124021,65576,13115,52461
FIN0254,2025-09-11,571904,333102,117931,32561,15380,165872,72930,14586,58344
FIN0255,2025-09-12,504727,304457,96584,22474,9567,128625,71645,14329,57316
FIN0256,2025-09-13,643106,380441,128503,37134,14744,180381,82284,16456,65828
FIN0257,2025-09-14,527337,303493,96289,21993,15632,133914,89930,17986,71944
FIN0258,2025-09-15,440114,260650,91925,18796,11582,122303,57161,11432,45729
FIN0259,2025-09-16,520789,303690,97760,33202,15906,146868,70231,14046,56185
FIN0260,2025-09-17,537894,325669,101437,24553,14238,140228,71997,14399,57598
FIN0261,2025-09-18,551430,312960,89934,23769,16867,130570,107900,21580,86320
FIN0262,2025-09-19,510030,310669,83755,30287,9460,123502,75859,15171,60688
FIN0263,2025-09-20,641706,391151,119487,37407,14819,171713,78842,15768,63074
FIN0264,2025-09-21,592989,343560,117840,35796,11108,164744,84685,16937,67748
FIN0265,2025-09-22,507726,285999,83635,30641,11158,125434,96293,19258,77035
FIN0266,2025-09-23,577994,348914,102113,33224,11548,146885,82195,16439,65756
FIN0267,2025-09-24,511703,294491,98657,30632,10134,139423,77789,15557,62232
FIN0268,2025-09-25,442208,254481,79081,28190,12994,120265,67462,13492,53970
FIN0269,2025-09-26,557990,315081,107983,30831,10186,149000,93909,18781,75128
FIN0270,2025-09-27,601160,342067,102623,41137,14913,158673,100420,20084,80336
FIN0271,2025-09-28,575263,350909,96498,28115,16702,141315,83039,16607,66432
FIN0272,2025-09-29,553087,331046,111588,36786,10247,158621,63420,12684,50736
FIN0273,2025-09-30,508280,306909,97031,29438,10246,136715,64656,12931,51725
FIN0274,2025-10-01,630999,379588,125287,53175,12820,191282,60129,12025,48104
FIN0275,2025-10-02,721889,405834,128651,58897,22793,210341,105714,21142,84572
FIN0276,2025-10-03,667834,399110,133025,44758,14257,192040,76684,15336,61348
FIN0277,2025-10-04,879577,532318,149264,70673,22856,242793,104466,20893,83573
FIN0278,2025-10-05,867508,505830,151023,61988,22021,235032,126646,25329,101317
FIN0279,2025-10-06,624350,375137,124909,40053,13423,178385,70828,14165,56663
FIN0280,2025-10-07,737077,444977,138369,46493,21996,206858,85242,17048,68194
FIN0281,2025-10-08,611122,350938,121097,41668,18745,181510,78674,15734,62940
FIN0282,2025-10-09,619145,372448,101902,54060,18223,174185,72512,14502,58010
FIN0283,2025-10-10,690715,418934,124843,49658,16049,190550,81231,16246,64985
FIN0284,2025-10-11,844394,514849,150931,51377,26202,228510,101035,20207,80828
FIN0285,2025-10-12,822788,493318,137306,56448,24368,218122,111348,22269,89079
FIN0286,2025-10-13,616117,368402,113030,48340,18903,180273,67442,13488,53954
FIN0287,2025-10-14,573724,328626,115747,43869,16168,175784,69314,13862,55452
FIN0288,2025-10-15,753775,438065,149856,50600,14853,215309,100401,20080,80321
FIN0289,2025-10-16,651381,378446,130077,48015,12735,190827,82108,16421,65687
FIN0290,2025-10-17,743886,438771,119633,56134,15909,191676,113439,22687,90752
FIN0291,2025-10-18,741371,425964,118677,52329,19267,190273,125134,25026,100108
FIN0292,2025-10-19,759946,450814,124844,67817,14399,207060,102072,20414,81658
FIN0293,2025-10-20,753169,442263,150122,56659,13771,220552,90354,18070,72284
FIN0294,2025-10-21,733378,412288,131526,52215,20873,204614,116476,23295,93181
FIN0295,2025-10-22,693373,415625,122893,56848,18579,198320,79428,15885,63543
FIN0296,2025-10-23,772931,461253,136519,47403,19821,203743,107935,21587,86348
FIN0297,2025-10-24,628962,378332,122165,56244,15535,193944,56686,11337,45349
FIN0298,2025-10-25,757808,455120,123640,63114,18496,205250,97438,19487,77951
FIN0299,2025-10-26,805016,458923,160645,69693,18047,248385,97708,19541,78167
FIN0300,2025-10-27,676733,396409,141745,51628,14581,207954,72370,14474,57896
FIN0301,2025-10-28,634629,364470,128897,38987,17249,185133,85026,17005,68021
FIN0302,2025-10-29,663689,375796,118402,57531,18852,194785,93108,18621,74487
FIN0303,2025-10-30,703830,406076,119187,56842,16288,192317,105437,21087,84350
FIN0304,2025-10-31,750768,430442,123223,54607,18039,195869,124457,24891,99566
FIN0305,2025-11-01,757034,444586,133283,47240,20631,201154,111294,22258,89036
FIN0306,2025-11-02,810560,471985,158775,52685,19627,231087,107488,21497,85991
FIN0307,2025-11-03,725236,407668,147586,51184,23188,221958,95610,19122,76488
FIN0308,2025-11-04,664163,393166,132549,40992,18195,191736,79261,15852,63409
FIN0309,2025-11-05,710754,410933,142189,57132,22274,221595,78226,15645,62581
FIN0310,2025-11-06,617527,372018,119741,45169,12206,177116,68393,13678,54715
FIN0311,2025-11-07,650516,389610,115997,46502,16875,179374,81532,16306,65226
FIN0312,2025-11-08,937366,532116,171065,66673,22698,260436,144814,28962,115852
FIN0313,2025-11-09,713051,419770,132964,51297,19319,203580,89701,17940,71761
FIN0314,2025-11-10,655335,398460,105702,42977,16546,165225,91650,18330,73320
FIN0315,2025-11-11,765772,433341,152195,62120,16084,230399,102032,20406,81626
FIN0316,2025-11-12,668063,397296,140247,44095,13294,197636,73131,14626,58505
FIN0317,2025-11-13,593206,345603,121568,43513,11406,176487,71116,14223,56893
FIN0318,2025-11-14,680100,403565,132943,52027,15006,199976,76559,15311,61248
FIN0319,2025-11-15,807782,486743,157994,70939,21751,250684,70355,14071,56284
FIN0320,2025-11-16,833916,488205,138486,55062,16631,210179,135532,27106,108426
FIN0321,2025-11-17,741830,416399,139242,52719,21699,213660,111771,22354,89417
FIN0322,2025-11-18,762223,431790,155655,47236,17968,220859,109574,21914,87660
FIN0323,2025-11-19,736396,431737,146143,62372,14015,222530,82129,16425,65704
FIN0324,2025-11-20,679193,402161,123951,54609,15501,194061,82971,16594,66377
FIN0325,2025-11-21,762102,451156,128870,67817,18333,215020,95926,19185,76741
FIN0326,2025-11-22,703932,423464,130864,48658,14266,193788,86680,17336,69344
FIN0327,2025-11-23,776150,448072,160698,67406,23162,251266,76812,15362,61450
FIN0328,2025-11-24,655686,373619,136263,44739,17539,198541,83526,16705,66821
FIN0329,2025-11-25,755794,426775,145149,58766,19748,223663,105356,21071,84285
FIN0330,2025-11-26,627586,372118,123026,49048,18699,190773,64695,12939,51756
FIN0331,2025-11-27,766461,430796,155736,47855,23974,227565,108100,21620,86480
FIN0332,2025-11-28,771115,442028,131506,59502,20552,211560,117527,23505,94022
FIN0333,2025-11-29,693261,405489,132661,47620,21763,202044,85728,17145,68583
FIN0334,2025-11-30,885493,506717,177423,63917,21561,262901,115875,23175,92700
FIN0335,2025-12-01,588201,334041,106335,43487,13389,163211,90949,18189,72760
FIN0336,2025-12-02,617842,355647,121046,50679,18566,190291,71904,14380,57524
FIN0337,2025-12-03,708103,401167,126415,54417,15909,196741,110195,22039,88156
FIN0338,2025-12-04,732080,414449,133589,47018,13696,194303,123328,24665,98663
FIN0339,2025-12-05,702947,424023,127167,62478,21532,211177,67747,13549,54198
FIN0340,2025-12-06,819452,497151,160658,53833,16578,231069,91232,18246,72986
FIN0341,2025-12-07,898989,524416,183352,67353,17315,268020,106553,21310,85243
FIN0342,2025-12-08,706166,413299,147118,46927,16199,210244,82623,16524,66099
FIN0343,2025-12-09,584884,335763,111055,49882,16034,176971,72150,14430,57720
FIN0344,2025-12-10,668124,392078,135200,48724,20280,204204,71842,14368,57474
FIN0345,2025-12-11,696446,416609,124174,50156,18096,192426,87411,17482,69929
FIN0346,2025-12-12,635886,367622,110917,45523,15455,171895,96369,19273,77096
