Return_ID,Return_Date,Order_ID,Customer_ID,Product_ID,Product_Name,Category,Region,Quantity_Returned,Return_Reason,Refund_Amount,Return_Status
R00018,2025-03-06,O003352,C00287,P0099,Beauty Product 099,Beauty,South,1,Changed Mind,8563.41,Approved
R00019,2025-11-04,O001745,C00071,P0089,Beauty Product 089,Beauty,East,2,Changed Mind,,Approved
R00020,2025-11-05,O001085,C00072,P0072,Home Product 072,Home,East,3,Late Delivery,15836.47,Approved
R00021,2025-01-31,O000927,C00296,P0059,Beauty Product 059,Beauty,East,2,Wrong Product,3098.86,Approved
R00022,2025-10-18,O003050,C00482,P0088,Fashion Product 088,Fashion,South,1,Quality Issue,4686.39,Rejected
R00023,2025-02-21,O001118,C00228,P0015,Sports Product 015,Sports,Central,1,Changed Mind,2644.39,Approved
R00024,2025-03-14,O000643,C00103,P0027,Home Product 027,Home,North,2,Late Delivery,19913.95,Approved
R00025,2025-09-27,O004768,C00172,P0018,Fashion Product 018,Fashion,Central,1,Quality Issue,29993.51,Approved
R00026,2025-04-26,O000502,C00389,P0068,Fashion Product 068,Fashion,West,4,Changed Mind,23637.65,Pending
R00027,2025-01-18,O004067,C00457,P0081,Electronics Product 081,Electronics,West,3,Damaged,10482.01,Pending
R00028,2025-02-18,O000334,C00314,P0050,Sports Product 050,Sports,Central,5,Damaged,16743.38,Approved
R00029,2025-04-25,O004685,C00388,P0011,Electronics Product 011,Electronics,Central,1,Damaged,15872.48,Pending
R00030,2025-04-18,O000487,C00020,P0037,Home Product 037,Home,South,1,Quality Issue,6395.59,Approved
R00031,2025-11-05,O001963,C00412,P0027,Home Product 027,Home,West,4,Wrong Product,21973.58,Approved
R00032,2025-11-14,O000394,C00247,P0067,Home Product 067,Home,East,2,Damaged,4167.96,Approved
R00033,2025-02-23,O004843,C00368,P0057,Home Product 057,Home,East,3,Damaged,28940.06,Approved
R00034,2025-03-13,O004867,C00479,P0096,Electronics Product 096,Electronics,West,1,Damaged,5000.34,Approved
R00035,2025-09-21,O001756,C00017,P0009,Beauty Product 009,Beauty,North,3,Late Delivery,12224.74,Approved
R00036,2025-09-05,O002516,C00143,P0011,Electronics Product 011,Electronics,North,3,Changed Mind,12201.72,Approved
R00037,2025-11-08,O003586,C00057,P0095,Sports Product 095,Sports,West,5,Changed Mind,11815.36,Approved
R00038,2025-09-14,O004316,C00181,P0060,Sports Product 060,Sports,North,1,Late Delivery,4758.15,Approved
R00039,2025-05-17,O004967,C00398,P0091,Electronics Product 091,Electronics,South,2,Changed Mind,2651.16,Rejected
R00040,2025-10-22,O002100,C00074,P0013,Fashion Product 013,Fashion,North,1,Late Delivery,,Pending
R00041,2025-07-26,O003600,C00416,P0094,Beauty Product 094,Beauty,Central,4,Quality Issue,12147.69,Approved
R00042,2025-09-24,O004122,C00226,P0003,Fashion Product 003,Fashion,West,1,Quality Issue,10051.46,Approved
R00043,2025-04-13,O000030,C00468,P0049,Beauty Product 049,Beauty,West,1,Damaged,2381.16,Approved
R00044,2025-12-07,O000066,C00299,P0083,Fashion Product 083,Fashion,Central,1,Damaged,2918.43,Approved
R00045,2025-05-13,O000839,C00277,P0092,Home Product 092,Home,West,2,Wrong Product,15991.65,Approved
R00046,2026-01-09,O003907,C00334,P0084,Beauty Product 084,Beauty,East,2,Changed Mind,6899.83,Approved
R00047,2025-01-11,O003774,C00036,P0030,Sports Product 030,Sports,Central,3,Late Delivery,12763.63,Approved
R00048,2025-03-23,O004636,C00367,P0018,Fashion Product 018,Fashion,East,1,Wrong Product,5492.25,Approved
R00049,2025-12-02,O003162,C00247,P0095,Sports Product 095,Sports,East,3,Quality Issue,6310.65,Approved
R00050,2025-07-11,O002660,C00185,P0008,Fashion Product 008,Fashion,East,1,Damaged,21521.94,Approved
R00051,2025-10-16,O004616,C00234,P0007,Home Product 007,Home,East,5,Damaged,18990.8,Approved
R00052,2025-08-10,O004629,C00246,P0021,Electronics Product 021,Electronics,Central,1,Damaged,4498.94,Pending
R00053,2025-07-12,O002452,C00299,P0062,Home Product 062,Home,Central,1,Late Delivery,3713.05,Approved
R00054,2025-07-11,O002847,C00216,P0055,Sports Product 055,Sports,North,1,Quality Issue,1309.76,Approved
R00055,2025-09-05,O001145,C00236,P0015,Sports Product 015,Sports,North,5,Changed Mind,14261.31,Approved
R00056,2025-04-20,O003079,C00474,P0057,Home Product 057,Home,South,1,Damaged,12419.01,Pending
R00057,2025-05-26,O001104,C00428,P0092,Home Product 092,Home,West,1,Damaged,3727.4,Rejected
R00058,2025-04-29,O000169,C00092,P0100,Sports Product 100,Sports,East,3,Damaged,17155.98,Approved
R00059,2025-08-15,O001671,C00227,P0078,Fashion Product 078,Fashion,East,1,Changed Mind,21759.23,Pending
R00060,2025-07-23,O002571,C00328,P0062,Home Product 062,Home,East,1,Changed Mind,11004.49,Approved
R00061,2025-11-01,O002378,C00275,P0036,Electronics Product 036,Electronics,West,2,Quality Issue,9754.08,Approved
R00062,2025-06-09,O004396,C00006,P0016,Electronics Product 016,Electronics,South,4,Wrong Product,13835.93,Approved
R00063,2025-03-22,O004258,C00012,P0098,Fashion Product 098,Fashion,East,2,Changed Mind,28111.23,Approved
R00064,2025-02-07,O003863,C00328,P0005,Sports Product 005,Sports,East,3,Damaged,23797.78,Approved
R00065,2025-10-29,O000024,C00418,P0026,Electronics Product 026,Electronics,West,1,Quality Issue,1610.28,Approved
R00066,2025-12-01,O002634,C00209,P0004,Beauty Product 004,Beauty,West,2,Damaged,5628.39,Approved
R00067,2025-05-31,O003341,C00375,P0086,Electronics Product 086,Electronics,Central,3,Quality Issue,13745.83,Approved
R00068,2025-12-25,O002216,C00412,P0023,Fashion Product 023,Fashion,West,1,Damaged,12159.64,Pending
R00069,2025-07-08,O003683,C00193,P0094,Beauty Product 094,Beauty,West,1,Changed Mind,14504.35,Pending
R00070,2025-11-03,O004725,C00308,P0031,Electronics Product 031,Electronics,North,1,Damaged,4850.02,Rejected
R00071,2025-12-17,O001908,C00207,P0032,Home Product 032,Home,Central,1,Late Delivery,3331.68,Approved
R00072,2026-01-10,O000085,C00122,P0097,Home Product 097,Home,West,5,Wrong Product,8782.6,Approved
R00073,2025-01-27,O000228,C00258,P0016,Electronics Product 016,Electronics,West,3,Late Delivery,10009.42,Approved
R00074,2025-07-01,O000297,C00322,P0091,Electronics Product 091,Electronics,Central,1,Late Delivery,1453.81,Approved
R00075,2025-10-04,O001002,C00033,P0050,Sports Product 050,Sports,South,3,Late Delivery,9345.34,Pending
R00076,2025-05-25,O002139,C00485,P0062,Home Product 062,Home,Central,5,Late Delivery,18617.51,Pending
R00077,2025-01-14,O000712,C00301,P0089,Beauty Product 089,Beauty,Central,2,Late Delivery,16579.78,Approved
R00078,2025-03-11,O002802,C00210,P0090,Sports Product 090,Sports,East,1,Quality Issue,847.25,Approved
R00079,2025-08-30,O002528,C00272,P0044,Beauty Product 044,Beauty,East,1,Damaged,2488.52,Approved
R00080,2025-10-02,O003753,C00433,P0038,Fashion Product 038,Fashion,West,1,Wrong Product,6034.0,Approved
R00081,2025-07-11,O003322,C00392,P0022,Home Product 022,Home,North,2,Damaged,7138.27,Approved
R00082,2025-02-17,O003182,C00034,P0052,Home Product 052,Home,South,1,Quality Issue,9968.16,Approved
R00083,2025-07-09,O004184,C00017,P0073,Fashion Product 073,Fashion,North,1,Changed Mind,2662.61,Approved
R00084,2025-02-25,O001616,C00111,P0045,Sports Product 045,Sports,West,2,Late Delivery,12102.36,Pending
R00085,2026-01-01,O003025,C00128,P0022,Home Product 022,Home,Central,2,Late Delivery,17425.69,Pending
R00086,2025-02-14,O001414,C00193,P0019,Beauty Product 019,Beauty,West,2,Quality Issue,8619.34,Approved
R00087,2025-08-20,O000764,C00099,P0040,Sports Product 040,Sports,East,2,Damaged,4593.06,Approved
R00088,2025-05-06,O000656,C00392,P0061,Electronics Product 061,Electronics,North,1,Wrong Product,14102.02,Rejected
R00089,2025-08-27,O004798,C00196,P0065,Sports Product 065,Sports,East,1,Late Delivery,6030.04,Approved
R00090,2025-09-01,O003850,C00344,P0078,Fashion Product 078,Fashion,North,1,Late Delivery,4241.55,Approved
R00091,2025-05-05,O004154,C00370,P0090,Sports Product 090,Sports,North,1,Wrong Product,1372.65,Pending
R00092,2025-09-24,O000469,C00286,P0097,Home Product 097,Home,West,1,Wrong Product,4367.0,Approved
R00093,2025-10-10,O000158,C00033,P0062,Home Product 062,Home,South,1,Late Delivery,22888.75,Approved
R00094,2025-02-25,O001296,C00093,P0050,Sports Product 050,Sports,North,2,Quality Issue,6072.26,Pending
R00095,2025-10-08,O000498,C00040,P0048,Fashion Product 048,Fashion,South,1,Quality Issue,12315.23,Approved
R00096,2025-04-22,O004741,C00312,P0001,Electronics Product 001,Electronics,East,2,Quality Issue,9104.03,Approved
R00097,2025-06-25,O002941,C00334,P0006,Electronics Product 006,Electronics,East,4,Changed Mind,13427.48,Approved
R00098,2025-11-07,O003457,C00017,P0060,Sports Product 060,Sports,North,4,Quality Issue,17226.18,Approved
R00099,2025-09-18,O000374,C00500,P0002,Home Product 002,Home,Central,1,Damaged,6580.01,Approved
R00100,2025-04-01,O000080,C00462,P0094,Beauty Product 094,Beauty,Central,2,Quality Issue,13586.47,Pending
R00101,2025-01-25,O001554,C00446,P0036,Electronics Product 036,Electronics,South,1,Wrong Product,9945.38,Approved
R00102,2025-01-07,O001670,C00010,P0064,Beauty Product 064,Beauty,West,4,Changed Mind,29927.53,Approved
R00103,2025-11-28,O002132,C00229,P0095,Sports Product 095,Sports,East,2,Late Delivery,6694.33,Approved
R00104,2025-10-28,O004440,C00161,P0038,Fashion Product 038,Fashion,West,3,Wrong Product,9549.6,Approved
R00105,2025-03-19,O000466,C00369,P0060,Sports Product 060,Sports,West,4,Changed Mind,21486.07,Approved
R00106,2025-03-07,O000249,C00274,P0056,Electronics Product 056,Electronics,Central,4,Quality Issue,25244.36,Approved
R00107,2025-03-21,O000932,C00425,P0010,Sports Product 010,Sports,South,2,Quality Issue,3134.22,Approved
R00108,2025-12-21,O001336,C00266,P0005,Sports Product 005,Sports,South,1,Changed Mind,13904.14,Pending
R00109,2025-07-26,O004525,C00204,P0085,Sports Product 085,Sports,Central,3,Late Delivery,7159.67,Approved
R00110,2025-03-11,O001339,C00069,P0098,Fashion Product 098,Fashion,West,1,Changed Mind,4479.3,Approved
R00111,2025-01-26,O001407,C00268,P0071,Electronics Product 071,Electronics,East,2,Changed Mind,4671.29,Pending
R00112,2025-10-02,O001091,C00288,P0056,Electronics Product 056,Electronics,North,3,Late Delivery,18854.38,Approved
R00113,2025-06-17,O004210,C00360,P0020,Sports Product 020,Sports,North,5,Damaged,10228.71,Approved
R00114,2025-04-08,O000743,C00260,P0001,Electronics Product 001,Electronics,South,4,Late Delivery,17489.82,Approved
R00115,2025-11-05,O002324,C00414,P0013,Fashion Product 013,Fashion,North,5,Damaged,14984.01,Approved
R00116,2025-07-06,O003602,C00393,P0042,Home Product 042,Home,South,1,Quality Issue,3834.97,Approved
R00117,2025-05-13,O002124,C00484,P0062,Home Product 062,Home,West,2,Wrong Product,10366.49,Approved
R00118,2025-03-23,O002095,C00065,P0040,Sports Product 040,Sports,West,2,Wrong Product,5457.06,Pending
R00119,2025-07-09,O000241,C00167,P0029,Beauty Product 029,Beauty,West,5,Late Delivery,3629.62,Approved
R00120,2025-09-11,O002352,C00496,P0065,Sports Product 065,Sports,Central,2,Changed Mind,11902.69,Approved
R00121,2025-01-23,O001371,C00304,P0014,Beauty Product 014,Beauty,Central,1,Quality Issue,2596.58,Approved
R00122,2025-04-15,O001058,C00001,P0043,Fashion Product 043,Fashion,East,1,Quality Issue,4943.11,Approved
R00123,2025-10-23,O004817,C00377,P0038,Fashion Product 038,Fashion,East,4,Late Delivery,7661.0,Pending
R00124,2025-11-09,O000200,C00280,P0047,Home Product 047,Home,South,2,Wrong Product,15493.97,Approved
R00125,2025-02-17,O002281,C00411,P0078,Fashion Product 078,Fashion,North,2,Changed Mind,32516.52,Approved
R00126,2025-03-10,O004750,C00127,P0077,Home Product 077,Home,East,1,Late Delivery,7133.91,Approved
R00127,2025-11-14,O002221,C00053,P0084,Beauty Product 084,Beauty,Central,2,Damaged,22423.41,Rejected
R00128,2025-08-10,O004772,C00224,P0035,Sports Product 035,Sports,South,2,Damaged,14395.87,Approved
R00129,2025-08-05,O002820,C00007,P0046,Electronics Product 046,Electronics,East,1,Late Delivery,9735.51,Approved
R00130,2025-02-22,O003151,C00098,P0085,Sports Product 085,Sports,Central,5,Quality Issue,13347.9,Approved
R00131,2025-09-14,O004257,C00473,P0043,Fashion Product 043,Fashion,South,1,Changed Mind,2218.5,Approved
R00132,2025-09-01,O003108,C00290,P0072,Home Product 072,Home,South,1,Changed Mind,8310.63,Approved
R00133,2025-02-10,O001974,C00460,P0039,Beauty Product 039,Beauty,North,1,Quality Issue,26028.42,Approved
R00134,2025-05-25,O001376,C00297,P0095,Sports Product 095,Sports,North,2,Wrong Product,4281.04,Rejected
R00135,2025-10-10,O003969,C00363,P0100,Sports Product 100,Sports,North,2,Damaged,28783.28,Approved
R00136,2025-04-10,O004063,C00189,P0090,Sports Product 090,Sports,West,1,Late Delivery,1094.22,Approved
R00137,2025-04-27,O004446,C00218,P0082,Home Product 082,Home,South,2,Changed Mind,10335.8,Approved
R00138,2025-07-14,O003558,C00068,P0080,Sports Product 080,Sports,Central,5,Wrong Product,16548.27,Approved
R00139,2025-11-05,O000965,C00470,P0037,Home Product 037,Home,Central,3,Damaged,11728.09,Approved
R00140,2025-03-11,O000180,C00237,P0037,Home Product 037,Home,West,3,Late Delivery,15902.6,Approved
R00141,2025-05-17,O003699,C00349,P0032,Home Product 032,Home,Central,4,Late Delivery,7692.62,Rejected
R00142,2025-08-28,O003822,C00052,P0015,Sports Product 015,Sports,South,4,Quality Issue,15469.86,Rejected
R00143,2026-01-05,O004879,C00037,P0041,Electronics Product 041,Electronics,Central,2,Changed Mind,6503.83,Pending
R00144,2025-09-28,O003900,C00182,P0066,Electronics Product 066,Electronics,North,1,Changed Mind,14540.67,Pending
R00145,2025-11-01,O004488,C00252,P0046,Electronics Product 046,Electronics,East,1,Damaged,6470.7,Approved
R00146,2025-11-29,O003239,C00435,P0075,Sports Product 075,Sports,South,2,Late Delivery,34923.72,Approved
R00147,2025-06-18,O002975,C00475,P0051,Electronics Product 051,Electronics,South,1,Damaged,,Approved
R00148,2025-03-14,O003581,C00126,P0039,Beauty Product 039,Beauty,Central,1,Damaged,8414.75,Approved
R00149,2025-02-16,O002888,C00440,P0041,Electronics Product 041,Electronics,Central,2,Quality Issue,12729.83,Approved
R00150,2025-07-24,O002576,C00027,P0036,Electronics Product 036,Electronics,East,5,Late Delivery,13138.5,Approved
R00151,2025-10-29,O001420,C00358,P0099,Beauty Product 099,Beauty,East,4,Changed Mind,28788.47,Rejected
R00152,2025-04-09,O003908,C00178,P0069,Beauty Product 069,Beauty,West,2,Wrong Product,7930.52,Approved
R00153,2025-10-28,O004674,C00179,P0072,Home Product 072,Home,East,3,Damaged,15061.84,Approved
R00154,2025-08-04,O004903,C00441,P0082,Home Product 082,Home,Central,3,Changed Mind,13554.71,Rejected
R00155,2025-08-26,O001861,C00184,P0009,Beauty Product 009,Beauty,West,1,Damaged,13895.72,Approved
R00156,2025-06-30,O000009,C00281,P0063,Fashion Product 063,Fashion,West,1,Damaged,3077.78,Rejected
R00157,2025-07-26,O002895,C00428,P0041,Electronics Product 041,Electronics,West,5,Wrong Product,24117.39,Approved
R00158,2025-08-31,O002848,C00070,P0073,Fashion Product 073,Fashion,South,1,Wrong Product,6221.93,Approved
R00159,2025-05-07,O003665,C00213,P0043,Fashion Product 043,Fashion,East,1,Late Delivery,2465.23,Approved
R00160,2025-04-19,O000145,C00380,P0043,Fashion Product 043,Fashion,East,1,Damaged,1611.18,Approved
R00161,2025-03-18,O002105,C00301,P0027,Home Product 027,Home,Central,1,Wrong Product,25261.37,Approved
R00162,2025-12-21,O003144,C00429,P0093,Fashion Product 093,Fashion,North,3,Wrong Product,8895.48,Approved
R00163,2025-06-29,O000842,C00078,P0042,Home Product 042,Home,West,1,Damaged,4188.98,Pending
R00164,2025-02-18,O001129,C00196,P0017,Home Product 017,Home,East,1,Late Delivery,15504.04,Approved
R00165,2025-07-16,O000152,C00321,P0099,Beauty Product 099,Beauty,Central,1,Changed Mind,6153.46,Rejected
R00166,2025-07-20,O003592,C00331,P0044,Beauty Product 044,Beauty,North,2,Changed Mind,6096.33,Approved
R00167,2025-09-25,O001053,C00475,P0089,Beauty Product 089,Beauty,South,4,Wrong Product,13451.42,Approved
R00168,2025-09-28,O001591,C00158,P0082,Home Product 082,Home,Central,2,Late Delivery,7095.87,Approved
R00169,2025-05-01,O003009,C00053,P0088,Fashion Product 088,Fashion,Central,3,Damaged,9372.42,Approved
R00170,2025-04-30,O002030,C00493,P0059,Beauty Product 059,Beauty,West,3,Wrong Product,2676.57,Approved
R00171,2025-08-25,O003419,C00278,P0059,Beauty Product 059,Beauty,North,1,Changed Mind,1194.41,Rejected
R00172,2025-11-10,O001808,C00358,P0010,Sports Product 010,Sports,East,4,Quality Issue,3380.86,Approved
R00173,2025-10-20,O002697,C00078,P0035,Sports Product 035,Sports,West,3,Damaged,23542.13,Rejected
R00174,2025-01-22,O003040,C00053,P0074,Beauty Product 074,Beauty,Central,1,Damaged,2108.02,Approved
R00175,2025-09-04,O000473,C00445,P0074,Beauty Product 074,Beauty,North,1,Quality Issue,8617.48,Approved
R00176,2025-04-29,O003290,C00387,P0045,Sports Product 045,Sports,East,1,Late Delivery,4224.01,Approved
R00177,2026-01-06,O004075,C00421,P0002,Home Product 002,Home,East,3,Quality Issue,8568.27,Approved
R00178,2025-12-01,O003497,C00055,P0006,Electronics Product 006,Electronics,North,1,Quality Issue,2583.0,Pending
R00179,2026-01-02,O000280,C00427,P0051,Electronics Product 051,Electronics,North,3,Wrong Product,21828.71,Approved
R00180,2025-08-01,O001742,C00010,P0037,Home Product 037,Home,West,3,Wrong Product,9808.89,Approved
R00181,2025-09-15,O004625,C00090,P0060,Sports Product 060,Sports,South,1,Changed Mind,,Pending
R00182,2025-05-20,O002887,C00431,P0082,Home Product 082,Home,West,1,Damaged,4429.44,Approved
R00183,2025-05-08,O001942,C00202,P0003,Fashion Product 003,Fashion,North,1,Quality Issue,8637.36,Approved
R00184,2025-02-04,O000101,C00228,P0079,Beauty Product 079,Beauty,Central,1,Damaged,5756.59,Approved
R00185,2025-10-21,O002805,C00051,P0015,Sports Product 015,Sports,South,1,Quality Issue,11524.19,Pending
R00186,2025-10-13,O003571,C00147,P0031,Electronics Product 031,Electronics,West,2,Wrong Product,11572.77,Approved
R00187,2025-07-22,O003685,C00344,P0096,Electronics Product 096,Electronics,North,5,Quality Issue,11920.59,Approved
R00188,2025-06-01,O003662,C00478,P0022,Home Product 022,Home,East,1,Changed Mind,11051.84,Approved
R00189,2025-02-26,O000531,C00480,P0020,Sports Product 020,Sports,North,2,Late Delivery,6640.72,Rejected
R00190,2026-01-04,O001887,C00057,P0011,Electronics Product 011,Electronics,West,1,Damaged,13878.01,Approved
R00191,2025-03-02,O000682,C00167,P0010,Sports Product 010,Sports,West,4,Quality Issue,3318.83,Approved
R00192,2025-03-08,O003795,C00424,P0064,Beauty Product 064,Beauty,East,1,Changed Mind,27559.31,Approved
R00193,2025-09-18,O003945,C00421,P0067,Home Product 067,Home,East,1,Quality Issue,4539.81,Approved
R00194,2025-04-10,O004667,C00280,P0036,Electronics Product 036,Electronics,South,1,Late Delivery,3306.3,Pending
R00195,2025-12-09,O002019,C00001,P0047,Home Product 047,Home,East,1,Wrong Product,2754.71,Pending
R00196,2025-01-06,O001097,C00334,P0089,Beauty Product 089,Beauty,East,1,Damaged,3900.98,Approved
R00197,2025-12-23,O000830,C00264,P0035,Sports Product 035,Sports,West,3,Late Delivery,31169.62,Approved
R00198,2025-03-15,O002806,C00037,P0015,Sports Product 015,Sports,Central,1,Wrong Product,6594.84,Approved
R00199,2025-12-25,O003830,C00461,P0082,Home Product 082,Home,West,3,Changed Mind,17166.54,Pending
R00200,2025-10-11,O004382,C00048,P0030,Sports Product 030,Sports,South,2,Wrong Product,4769.7,Rejected
R00201,2025-09-08,O003892,C00300,P0100,Sports Product 100,Sports,East,1,Damaged,11386.46,Approved
R00202,2025-03-16,O000765,C00395,P0039,Beauty Product 039,Beauty,South,2,Damaged,15555.59,Approved
R00203,2026-01-09,O002768,C00017,P0069,Beauty Product 069,Beauty,North,2,Changed Mind,3398.89,Approved
R00204,2025-01-13,O004329,C00056,P0061,Electronics Product 061,Electronics,West,1,Late Delivery,6787.46,Approved
R00205,2025-01-16,O003296,C00183,P0003,Fashion Product 003,Fashion,North,2,Damaged,15259.56,Approved
R00206,2025-04-15,O002195,C00284,P0051,Electronics Product 051,Electronics,North,2,Late Delivery,30836.96,Approved
R00207,2025-06-20,O002358,C00292,P0036,Electronics Product 036,Electronics,North,1,Quality Issue,15212.23,Approved
R00208,2025-10-21,O003426,C00237,P0085,Sports Product 085,Sports,West,2,Quality Issue,6754.81,Approved
R00209,2025-12-12,O003980,C00308,P0053,Fashion Product 053,Fashion,North,4,Changed Mind,16284.17,Approved
R00210,2025-03-11,O000912,C00164,P0079,Beauty Product 079,Beauty,Central,1,Late Delivery,5855.84,Approved
R00211,2025-09-17,O003146,C00104,P0081,Electronics Product 081,Electronics,East,1,Wrong Product,5664.95,Approved
R00212,2025-02-01,O001000,C00171,P0074,Beauty Product 074,Beauty,West,2,Quality Issue,3041.35,Approved
R00213,2025-02-19,O003654,C00225,P0046,Electronics Product 046,Electronics,East,2,Late Delivery,8824.04,Approved
R00214,2025-10-11,O002484,C00058,P0041,Electronics Product 041,Electronics,Central,1,Late Delivery,2600.75,Rejected
R00215,2025-12-14,O004077,C00076,P0078,Fashion Product 078,Fashion,Central,5,Late Delivery,31648.36,Pending
R00216,2025-09-26,O002371,C00338,P0065,Sports Product 065,Sports,Central,5,Damaged,24305.32,Approved
R00217,2025-10-03,O004839,C00076,P0067,Home Product 067,Home,Central,3,Damaged,7900.06,Approved
R00218,2025-03-24,O000034,C00055,P0014,Beauty Product 014,Beauty,North,2,Wrong Product,7490.62,Approved
R00219,2025-10-14,O003790,C00424,P0070,Sports Product 070,Sports,East,1,Quality Issue,3179.9,Approved
R00220,2025-09-20,O001021,C00307,P0076,Electronics Product 076,Electronics,Central,1,Late Delivery,15851.05,Approved
R00221,2025-11-23,O001648,C00205,P0074,Beauty Product 074,Beauty,South,5,Wrong Product,12105.89,Pending
R00222,2025-08-04,O000734,C00298,P0018,Fashion Product 018,Fashion,East,4,Wrong Product,28113.55,Rejected
R00223,2025-09-28,O004583,C00440,P0009,Beauty Product 009,Beauty,Central,1,Late Delivery,10918.37,Approved
R00224,2025-07-20,O003275,C00011,P0002,Home Product 002,Home,North,4,Wrong Product,15435.15,Approved
R00225,2025-07-08,O001621,C00393,P0012,Home Product 012,Home,South,3,Changed Mind,8433.25,Approved
R00226,2025-09-26,O003136,C00030,P0044,Beauty Product 044,Beauty,East,1,Damaged,2003.97,Approved
R00227,2025-04-24,O002690,C00206,P0066,Electronics Product 066,Electronics,South,1,Late Delivery,15602.37,Approved
R00228,2025-02-21,O002708,C00442,P0091,Electronics Product 091,Electronics,East,4,Damaged,4732.51,Pending
R00229,2026-01-12,O000298,C00383,P0081,Electronics Product 081,Electronics,Central,1,Changed Mind,6340.34,Approved
R00230,2025-06-24,O002340,C00244,P0077,Home Product 077,Home,North,1,Wrong Product,3307.68,Approved
R00231,2025-07-06,O000654,C00129,P0020,Sports Product 020,Sports,East,1,Changed Mind,2853.35,Rejected
R00232,2025-04-18,O003775,C00074,P0062,Home Product 062,Home,North,1,Changed Mind,27083.71,Rejected
R00233,2025-03-09,O001256,C00453,P0013,Fashion Product 013,Fashion,North,2,Late Delivery,18803.8,Approved
R00234,2025-12-03,O004521,C00444,P0058,Fashion Product 058,Fashion,South,2,Quality Issue,8349.71,Approved
R00235,2025-03-28,O000231,C00212,P0093,Fashion Product 093,Fashion,South,1,Quality Issue,5083.75,Approved
R00236,2025-09-29,O003277,C00231,P0021,Electronics Product 021,Electronics,West,5,Quality Issue,9627.94,Rejected
R00237,2025-01-25,O003231,C00374,P0056,Electronics Product 056,Electronics,East,1,Wrong Product,11145.99,Approved
R00238,2025-08-02,O000692,C00231,P0027,Home Product 027,Home,West,1,Quality Issue,19231.11,Approved
R00239,2025-01-29,O002755,C00434,P0062,Home Product 062,Home,North,3,Changed Mind,,Pending
R00240,2025-04-04,O004864,C00219,P0054,Beauty Product 054,Beauty,North,2,Changed Mind,11663.2,Approved
R00241,2025-03-26,O000970,C00252,P0060,Sports Product 060,Sports,East,2,Late Delivery,11738.32,Approved
R00242,2025-11-29,O000634,C00027,P0004,Beauty Product 004,Beauty,East,1,Wrong Product,3506.91,Approved
R00243,2025-06-14,O004093,C00217,P0075,Sports Product 075,Sports,East,5,Late Delivery,28928.44,Rejected
R00244,2025-03-18,O004078,C00050,P0066,Electronics Product 066,Electronics,South,1,Damaged,11942.82,Rejected
R00245,2025-01-12,O001322,C00338,P0058,Fashion Product 058,Fashion,Central,4,Changed Mind,10032.56,Approved
R00246,2025-10-13,O001832,C00486,P0012,Home Product 012,Home,West,1,Damaged,8484.26,Approved
R00247,2025-07-25,O002179,C00340,P0100,Sports Product 100,Sports,West,2,Damaged,7564.67,Approved
R00248,2025-07-26,O001418,C00199,P0089,Beauty Product 089,Beauty,North,4,Changed Mind,12308.81,Approved
R00249,2025-07-30,O001783,C00472,P0069,Beauty Product 069,Beauty,South,3,Wrong Product,5610.28,Pending
