Return_ID,Order_ID,Customer_ID,Product_ID,Return_Date,Return_Quantity,Return_Reason,Return_Status,Refund_Amount,Region
RET0140,ORD12622,CUST1418,PROD013,2025-11-21,1,Defective Item,Processed,9500,North
RET0144,ORD12667,CUST1066,PROD008,2025-11-21,3,Wrong Item Received,Approved,4500,Central
RET0146,ORD12719,CUST1371,PROD003,2025-11-21,2,Changed Mind,Rejected,0,North
RET0147,ORD12760,CUST1340,PROD002,2025-11-21,4,Not as Described,Approved,128000,West
RET0151,ORD12829,CUST1186,PROD002,2025-11-24,1,Damaged,Approved,32000,South
RET0155,ORD12911,CUST1423,PROD013,2025-11-28,2,Not as Described,Approved,19000,West
RET0148,ORD12762,CUST1190,PROD002,2025-11-30,1,Defective Item,Approved,32000,West
RET0149,ORD12770,CUST1421,PROD004,2025-12-01,3,Size/Fit Issue,Processed,42000,North
RET0150,ORD12777,CUST1124,PROD008,2025-12-04,2,Size/Fit Issue,Approved,3000,North
RET0154,ORD12886,CUST1427,PROD003,2025-12-05,1,Damaged,Approved,6000,East
RET0152,ORD12852,CUST1181,PROD004,2025-12-07,1,Size/Fit Issue,Processed,14000,North
RET0160,ORD13061,CUST1096,PROD009,2025-12-10,2,Damaged,Approved,5600,West
RET0153,ORD12858,CUST1083,PROD008,2025-12-11,1,Defective Item,Approved,1500,North
RET0157,ORD12962,CUST1099,PROD014,2025-12-13,2,Changed Mind,Approved,4400,South
RET0162,ORD13076,CUST1146,PROD013,2025-12-13,1,Not as Described,Approved,9500,South
RET0164,ORD13087,CUST1043,PROD013,2025-12-16,3,Changed Mind,Processed,28500,East
RET0156,ORD12930,CUST1421,PROD007,2025-12-17,2,Wrong Item Received,Approved,17000,West
RET0161,ORD13066,CUST1009,PROD010,2025-12-17,2,Quality Not Expected,Approved,11000,West
RET0166,ORD13139,CUST1028,PROD002,2025-12-17,2,Changed Mind,Approved,64000,Central
RET0158,ORD12986,CUST1267,PROD010,2025-12-21,1,Wrong Item Received,Rejected,0,North
RET0159,ORD13035,CUST1348,PROD014,2025-12-22,1,Quality Not Expected,Approved,2200,West
RET0168,ORD13171,CUST1445,PROD012,2025-12-22,5,Damaged,Approved,37500,South
RET0163,ORD13086,CUST1092,PROD009,2025-12-29,1,Quality Not Expected,Processed,2800,North
RET0170,ORD13204,CUST1183,PROD009,2025-12-29,2,Damaged,Approved,5600,Central
RET0167,ORD13158,CUST1221,PROD007,2025-12-30,1,Wrong Item Received,Approved,8500,Central
RET0178,ORD13298,CUST1054,PROD005,2025-12-30,2,Wrong Item Received,Approved,30000,East
RET0175,ORD13268,CUST1296,PROD010,2025-12-31,1,Size/Fit Issue,Approved,5500,West
RET0171,ORD13241,CUST1260,PROD007,2026-01-02,1,Size/Fit Issue,Approved,8500,Central
RET0165,ORD13112,CUST1380,PROD007,2026-01-03,1,Quality Not Expected,Approved,8500,North
RET0173,ORD13258,CUST1395,PROD007,2026-01-03,1,Damaged,Processed,8500,West
RET0174,ORD13263,CUST1314,PROD002,2026-01-03,1,Wrong Item Received,Approved,32000,East
RET0172,ORD13250,CUST1414,PROD003,2026-01-06,1,Defective Item,Approved,6000,West
RET0176,ORD13275,CUST1258,PROD006,2026-01-06,1,Changed Mind,Approved,22000,West
RET0177,ORD13278,CUST1058,PROD003,2026-01-06,1,Size/Fit Issue,Approved,6000,North
RET0169,ORD13190,CUST1034,PROD004,2026-01-07,1,Defective Item,Approved,14000,East
RET0180,ORD13326,CUST1190,PROD013,2026-01-09,1,Wrong Item Received,Approved,9500,Central
RET0179,ORD13315,CUST1381,PROD010,2026-01-17,1,Not as Described,Approved,5500,East
